0.9342 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
319.3683 	DATA 	Keypress: t
320.8694 	DATA 	Keypress: t
322.3697 	DATA 	Keypress: t
323.8691 	DATA 	Keypress: t
325.3689 	DATA 	Keypress: t
326.8709 	DATA 	Keypress: t
328.3675 	DATA 	Keypress: t
329.8679 	DATA 	Keypress: t
331.3695 	DATA 	Keypress: t
332.8693 	DATA 	Keypress: t
334.3708 	DATA 	Keypress: t
335.8706 	DATA 	Keypress: t
337.3695 	DATA 	Keypress: t
338.8701 	DATA 	Keypress: t
340.3686 	DATA 	Keypress: t
341.8728 	DATA 	Keypress: t
343.3677 	DATA 	Keypress: t
344.8705 	DATA 	Keypress: t
346.3682 	DATA 	Keypress: t
347.8675 	DATA 	Keypress: t
349.3687 	DATA 	Keypress: t
350.8706 	DATA 	Keypress: t
352.3678 	DATA 	Keypress: t
353.8702 	DATA 	Keypress: t
355.3696 	DATA 	Keypress: t
356.8703 	DATA 	Keypress: t
358.3699 	DATA 	Keypress: t
359.8682 	DATA 	Keypress: t
361.3688 	DATA 	Keypress: t
362.8681 	DATA 	Keypress: t
364.3723 	DATA 	Keypress: t
365.8694 	DATA 	Keypress: t
367.3708 	DATA 	Keypress: t
368.8690 	DATA 	Keypress: t
370.3688 	DATA 	Keypress: t
371.8716 	DATA 	Keypress: t
373.3719 	DATA 	Keypress: t
374.8685 	DATA 	Keypress: t
376.3707 	DATA 	Keypress: t
377.8691 	DATA 	Keypress: t
379.3689 	DATA 	Keypress: t
380.8701 	DATA 	Keypress: t
382.3721 	DATA 	Keypress: t
383.8697 	DATA 	Keypress: t
385.3683 	DATA 	Keypress: t
386.8715 	DATA 	Keypress: t
388.3689 	DATA 	Keypress: t
389.8683 	DATA 	Keypress: t
391.3685 	DATA 	Keypress: t
392.8693 	DATA 	Keypress: t
394.3693 	DATA 	Keypress: t
395.8687 	DATA 	Keypress: t
397.3726 	DATA 	Keypress: t
398.8683 	DATA 	Keypress: t
400.3692 	DATA 	Keypress: t
401.8686 	DATA 	Keypress: t
403.3693 	DATA 	Keypress: t
404.8689 	DATA 	Keypress: t
406.3708 	DATA 	Keypress: t
407.8693 	DATA 	Keypress: t
409.3707 	DATA 	Keypress: t
410.8699 	DATA 	Keypress: t
412.3684 	DATA 	Keypress: t
413.8714 	DATA 	Keypress: t
415.3692 	DATA 	Keypress: t
416.8713 	DATA 	Keypress: t
418.3711 	DATA 	Keypress: t
419.8687 	DATA 	Keypress: t
421.3675 	DATA 	Keypress: t
422.8718 	DATA 	Keypress: t
424.3688 	DATA 	Keypress: t
425.8707 	DATA 	Keypress: t
427.3572 	DATA 	Keypress: t
428.8692 	DATA 	Keypress: t
430.3709 	DATA 	Keypress: t
431.8711 	DATA 	Keypress: t
433.3699 	DATA 	Keypress: t
434.8684 	DATA 	Keypress: t
436.3703 	DATA 	Keypress: t
437.8692 	DATA 	Keypress: t
439.3686 	DATA 	Keypress: t
440.8703 	DATA 	Keypress: t
442.3570 	DATA 	Keypress: t
443.8719 	DATA 	Keypress: t
445.3697 	DATA 	Keypress: t
446.8715 	DATA 	Keypress: t
448.3692 	DATA 	Keypress: t
449.8705 	DATA 	Keypress: t
451.3707 	DATA 	Keypress: t
