ParticipantNo: 22050
Time for Trials (seconds): 60
Controller type: Arrows Only
Repetition?: Full
DSPType: 1
Encoding Tours: 0
!!1_dsp1_02
!!1_dsp1_02
2.18:  174.2,171.2,357.8309,box 2,2
2.2:  174.2,171.2,357.8309,box 2,2
2.22:  174.2,171.2,357.8309,box 2,2
2.23:  174.2,171.2,357.8309,box 2,2
2.25:  174.2,171.2,357.8309,box 2,2
2.27:  174.2,171.2,357.8309,box 2,2
2.28:  174.2,171.2,357.8309,box 2,2
2.3:  174.2,171.2,357.8309,box 2,2
2.32:  174.2,171.2,357.8309,box 2,2
2.33:  174.2,171.2,357.8309,box 2,2
2.35:  174.2,171.2,357.8309,box 2,2
2.37:  174.2,171.2,357.8309,box 2,2
2.38:  174.2,171.2,357.8309,box 2,2
2.4:  174.2,171.2,357.8309,box 2,2
2.42:  174.2,171.2,357.8309,box 2,2
2.43:  174.2,171.2,357.8309,box 2,2
2.45:  174.2,171.2,357.8309,box 2,2
2.47:  174.2,171.2,357.8309,box 2,2
2.48:  174.2,171.2,357.8309,box 2,2
2.5:  174.2,171.2,357.8309,box 2,2
2.52:  174.2,171.2,357.8309,box 2,2
2.53:  174.2,171.2,357.8309,box 2,2
2.55:  174.2,171.2,357.8309,box 2,2
2.57:  174.2,171.2,357.8309,box 2,2
2.58:  174.2,171.2,357.8309,box 2,2
2.6:  174.2,171.2,357.8309,box 2,2
2.62:  174.2,171.2,357.8309,box 2,2
2.63:  174.2,171.2,357.8309,box 2,2
2.65:  174.2,171.2,357.8309,box 2,2
2.67:  174.2,171.2,357.8309,box 2,2
2.68:  174.2,171.2,357.8309,box 2,2
2.7:  174.2,171.2,357.8309,box 2,2
2.72:  174.2,171.2,357.8309,box 2,2
2.73:  174.2,171.2,357.8309,box 2,2
2.75:  174.2,171.2,357.8309,box 2,2
2.77:  174.2,171.2,357.8309,box 2,2
2.78:  174.2,171.2,357.8309,box 2,2
2.8:  174.2,171.2,357.8309,box 2,2
2.82:  174.2,171.2,357.8309,box 2,2
2.83:  174.2,171.2,357.8309,box 2,2
2.85:  174.2,171.2,357.8309,box 2,2
2.87:  174.2,171.2,357.8309,box 2,2
2.88:  174.2,171.2,357.8309,box 2,2
