ParticipantNo: 12218
Time for Trials (seconds): 60
Controller type: Gamepad
Repetition?: Full
DSPType: 2
Encoding Tours: 0
!!1_dsp2_02
!!1_dsp2_02
2.38:  171.3,171,117.0414,box 8,8
2.4:  171.3,171,117.8293,box 8,8
2.42:  171.3,171,118.6172,box 8,8
2.43:  171.3,171,119.4051,box 8,8
2.45:  171.3,171,120.1929,box 8,8
2.47:  171.3,171,120.9808,box 8,8
2.48:  171.3,171,121.7687,box 8,8
2.5:  171.3,171,122.5566,box 8,8
2.52:  171.3,171,123.3445,box 8,8
2.53:  171.3,171,124.1323,box 8,8
2.55:  171.3,171,124.9202,box 8,8
2.57:  171.3,171,125.7081,box 8,8
2.58:  171.3,171,126.496,box 8,8
2.6:  171.3,171,127.2839,box 8,8
2.62:  171.3,171,128.0717,box 8,8
2.63:  171.3,171,128.8596,box 8,8
2.65:  171.3,171,129.6475,box 8,8
2.67:  171.3,171,130.4354,box 8,8
2.68:  171.3,171,131.2233,box 8,8
2.7:  171.3,171,132.0111,box 8,8
2.72:  171.3,171,132.799,box 8,8
2.73:  171.3,171,133.5869,box 8,8
2.75:  171.3,171,134.3748,box 8,8
2.77:  171.3,171,135.1627,box 8,8
2.78:  171.3,171,135.9505,box 8,8
2.8:  171.3,171,136.7384,box 8,8
2.82:  171.3,171,137.5263,box 8,8
2.83:  171.3,171,138.3142,box 8,8
2.85:  171.3,171,139.1021,box 8,8
2.87:  171.3,171,139.8899,box 8,8
2.88:  171.3,171,140.6778,box 8,8
2.9:  171.3,171,141.4657,box 8,8
2.92:  171.3,171,142.2536,box 8,8
2.93:  171.3,171,143.0414,box 8,8
2.95:  171.3,171,143.8293,box 8,8
2.97:  171.3,171,144.6172,box 8,8
2.98:  171.3,171,145.4051,box 8,8
3:  171.3,171,146.193,box 8,8
3.02:  171.3,171,146.9808,box 8,8
3.03:  171.3,171,147.7687,box 8,8
3.05:  171.3,171,148.5566,box 8,8
3.07:  171.3,171,149.3445,box 8,8
3.08:  171.3,171,150.1324,box 8,8
3.1:  171.3,171,150.9202,box 8,8
3.12:  171.3,171,151.7081,box 8,8
3.13:  171.3,171,152.496,box 8,8
3.15:  171.3,171,153.2839,box 8,8
3.17:  171.3,171,154.0717,box 8,8
3.18:  171.3,171,154.8596,box 8,8
3.2:  171.3,171,155.6475,box 8,8
3.22:  171.3,171,156.4354,box 8,8
3.23:  171.3,171,157.2233,box 8,8
3.25:  171.3083,170.9795,158.0111,box 8,8
3.27:  171.3461,170.8819,158.799,box 8,8
3.28:  171.4283,170.661,159.5869,box 8,8
3.3:  171.5118,170.4271,160.3748,box 8,8
3.32:  171.5936,170.1871,161.1626,box 8,8
3.33:  171.671,169.9496,161.9505,box 8,8
3.35:  171.744,169.7146,162.7384,box 8,8
3.37:  171.8164,169.4711,163.4439,box 8,8
3.38:  171.8861,169.2316,163.7754,box 8,8
3.4:  171.9556,168.9928,163.7754,box 8,8
3.42:  172.0258,168.7515,163.7754,box 8,8
3.43:  172.0952,168.513,163.7754,box 8,8
3.45:  172.1691,168.259,163.7754,box 8,8
3.47:  172.2365,168.0277,163.7754,box 8,8
3.48:  172.3052,167.7915,163.7754,box 8,8
3.5:  172.3745,167.5534,163.7754,box 8,8
3.52:  172.4452,167.3102,163.7754,box 8,8
3.53:  172.5152,167.0699,163.7754,box 8,8
3.55:  172.5842,166.8325,163.7754,box 8,8
3.57:  172.655,166.5894,163.7754,box 8,8
3.58:  172.7239,166.351,163.8725,box 8,8
3.6:  172.7919,166.1121,164.1216,box 8,8
3.62:  172.8592,165.8692,164.5166,box 8,8
3.63:  172.9237,165.6271,165.0699,box 8,8
3.65:  172.9842,165.3892,165.7437,box 8,8
3.67:  173.0434,165.142,166.5316,box 8,8
3.68:  173.0977,164.9003,167.3195,box 8,8
3.7:  173.1499,164.6526,168.1074,box 8,8
3.72:  173.1979,164.4081,168.8953,box 8,8
3.73:  173.2428,164.1614,169.6831,box 8,8
3.75:  173.2834,163.9196,170.471,box 8,8
3.77:  173.3219,163.669,171.2589,box 8,7
3.78:  173.3568,163.4193,172.0468,box 8,7
3.8:  173.3874,163.1761,172.8347,box 8,7
3.82:  173.4155,162.9246,173.6225,box 8,7
3.83:  173.4395,162.6794,174.4104,box 8,7
3.85:  173.4615,162.4178,175.1983,box 8,7
3.87:  173.4789,162.1698,175.9862,box 8,7
3.88:  173.4929,161.9204,176.774,box 8,7
3.9:  173.5032,161.6796,177.562,box 8,7
3.92:  173.5105,161.4272,178.3498,box 8,7
3.93:  173.5142,161.1777,179.1377,box 8,7
3.95:  173.5145,160.9298,179.9256,box 8,7
3.97:  173.5114,160.6787,180.7134,box 8,7
3.98:  173.5049,160.4288,181.5013,box 8,7
4:  173.4949,160.1785,182.2892,box 8,7
4.02:  173.4814,159.9285,183.0771,box 8,7
4.03:  173.4635,159.6635,183.865,box 8,7
4.05:  173.4434,159.4166,184.6528,box 8,7
4.07:  173.4205,159.1756,185.4217,box 8,7
4.08:  173.3945,158.9335,186.1462,box 8,7
