ParticipantNo: 99999
Time for Trials (seconds): 60
Controller type: Arrows Only
Repetition?: Full
DSPType: 2
Encoding Tours: 0
!!1_dsp2_09
!!1_dsp2_09
2.42:  41.15117,90.16945,123,box 1,4
2.43:  41.15117,90.16945,124.5,box 1,4
2.45:  41.15117,90.16945,126,box 1,4
2.46:  41.15117,90.16945,127.5,box 1,4
2.48:  41.15117,90.16945,129,box 1,4
2.5:  41.15117,90.16945,130.5,box 1,4
2.52:  41.15117,90.16945,132,box 1,4
2.53:  41.15117,90.16945,133.5,box 1,4
2.55:  41.15117,90.16945,135,box 1,4
2.56:  41.15117,90.16945,136.5,box 1,4
2.58:  41.15117,90.16945,138,box 1,4
2.6:  41.15117,90.16945,139.5,box 1,4
2.61:  41.15117,90.16945,141,box 1,4
2.63:  41.15117,90.16945,142.5,box 1,4
2.65:  41.15117,90.16945,144,box 1,4
2.67:  41.15117,90.16945,145.5,box 1,4
2.68:  41.15117,90.16945,147,box 1,4
2.7:  41.15117,90.16945,148.5,box 1,4
2.72:  41.15117,90.16945,150,box 1,4
2.73:  41.15117,90.16945,151.5,box 1,4
2.75:  41.15117,90.16945,153,box 1,4
2.77:  41.15117,90.16945,154.5,box 1,4
2.78:  41.15117,90.16945,156,box 1,4
2.8:  41.15117,90.16945,157.5,box 1,4
2.82:  41.15117,90.16945,159,box 1,4
2.83:  41.15117,90.16945,160.5,box 1,4
2.85:  41.15117,90.16945,162,box 1,4
2.87:  41.15117,90.16945,163.5,box 1,4
2.88:  41.15117,90.16945,165,box 1,4
2.9:  41.15117,90.16945,166.5,box 1,4
2.92:  41.15117,90.16945,168,box 1,4
2.93:  41.15117,90.16945,169.5,box 1,4
2.95:  41.15117,90.16945,171,box 1,4
2.97:  41.15117,90.16945,172.5,box 1,4
2.98:  41.15117,90.16945,174,box 1,4
3:  41.15117,90.16945,175.5,box 1,4
3.02:  41.15117,90.16945,177,box 1,4
3.03:  41.15117,90.16945,178.5,box 1,4
3.05:  41.15117,90.16945,180,box 1,4
