ParticipantNo: 21010
Time for Trials (seconds): 60
Controller type: Arrows Only
Repetition?: Full
DSPType: 2
Encoding Tours: 0
!!1_dsp2_11
!!1_dsp2_11
2.37:  71.3,71,177.0569,box 3,3
2.38:  71.3,71,177.0569,box 3,3
2.4:  71.3,71,177.0569,box 3,3
2.42:  71.3,71,177.0569,box 3,3
2.43:  71.3,71,177.0569,box 3,3
2.45:  71.3,71,177.0569,box 3,3
2.47:  71.3,71,177.0569,box 3,3
2.48:  71.3,71,177.0569,box 3,3
2.5:  71.3,71,177.0569,box 3,3
2.52:  71.3,71,177.0569,box 3,3
2.53:  71.3,71,177.0569,box 3,3
2.55:  71.3,71,177.0569,box 3,3
2.57:  71.3,71,177.0569,box 3,3
2.58:  71.3,71,177.0569,box 3,3
2.6:  71.3,71,177.0569,box 3,3
2.62:  71.3,71,177.0569,box 3,3
2.63:  71.3,71,177.0569,box 3,3
2.65:  71.3,71,177.0569,box 3,3
2.67:  71.3,71,177.0569,box 3,3
2.68:  71.3,71,177.0569,box 3,3
2.7:  71.3,71,177.0569,box 3,3
2.72:  71.3,71,177.0569,box 3,3
2.73:  71.3,71,177.0569,box 3,3
2.75:  71.3,71,177.0569,box 3,3
2.77:  71.3,71,177.0569,box 3,3
2.78:  71.3,71,177.0569,box 3,3
2.8:  71.3,71,177.0569,box 3,3
2.82:  71.3,71,177.0569,box 3,3
2.83:  71.3,71,177.0569,box 3,3
2.85:  71.3,71,177.0569,box 3,3
2.87:  71.3,71,177.0569,box 3,3
2.88:  71.3,71,177.0569,box 3,3
2.9:  71.3,71,177.0569,box 3,3
2.92:  71.3,71,177.0569,box 3,3
2.93:  71.3,71,177.0569,box 3,3
2.95:  71.3,71,177.0569,box 3,3
2.97:  71.3,71,177.0569,box 3,3
2.98:  71.3,71,177.0569,box 3,3
3:  71.3,71,177.0569,box 3,3
3.02:  71.3,71,177.0569,box 3,3
3.03:  71.3,71,177.0569,box 3,3
3.05:  71.3,71,177.0569,box 3,3
3.07:  71.3,71,177.0569,box 3,3
3.08:  71.3,71,177.0569,box 3,3
3.1:  71.3,71,177.0569,box 3,3
3.12:  71.3,71,177.0569,box 3,3
3.13:  71.3,71,177.0569,box 3,3
3.15:  71.3,71,177.0569,box 3,3
3.17:  71.3,71,177.0569,box 3,3
3.18:  71.3,71,177.0569,box 3,3
3.2:  71.3,71,177.0569,box 3,3
3.22:  71.3,71,177.0569,box 3,3
3.23:  71.3,71,177.0569,box 3,3
3.25:  71.3,71,177.0569,box 3,3
3.27:  71.3,71,177.0569,box 3,3
3.28:  71.3,71,177.0569,box 3,3
3.3:  71.3,71,177.0569,box 3,3
3.32:  71.3,71,177.0569,box 3,3
3.33:  71.3,71,177.0569,box 3,3
3.35:  71.3,71,177.0569,box 3,3
3.37:  71.3,71,177.0569,box 3,3
3.38:  71.3,71,177.0569,box 3,3
3.4:  71.3,71,177.0569,box 3,3
3.42:  71.3,71,177.0569,box 3,3
3.43:  71.3,71,177.0569,box 3,3
3.45:  71.3,71,177.0569,box 3,3
3.47:  71.3,71,177.0569,box 3,3
3.48:  71.3,71,177.0569,box 3,3
3.5:  71.3,71,177.0569,box 3,3
3.52:  71.3,71,177.0569,box 3,3
3.53:  71.3,71,177.0569,box 3,3
3.55:  71.3,71,177.0569,box 3,3
3.57:  71.3,71,177.0569,box 3,3
3.58:  71.3,71,177.0569,box 3,3
3.6:  71.3,71,177.0569,box 3,3
3.62:  71.3,71,177.0569,box 3,3
3.63:  71.3,71,177.0569,box 3,3
3.65:  71.3,71,177.0569,box 3,3
3.67:  71.3,71,177.0569,box 3,3
3.68:  71.3,71,177.0569,box 3,3
3.7:  71.3,71,177.0569,box 3,3
3.72:  71.3,71,177.0569,box 3,3
3.73:  71.3,71,177.0569,box 3,3
3.75:  71.3,71,177.0569,box 3,3
3.77:  71.3,71,177.0569,box 3,3
3.78:  71.3,71,177.0569,box 3,3
3.8:  71.3,71,177.0569,box 3,3
3.82:  71.3,71,177.0569,box 3,3
3.83:  71.3,71,177.0569,box 3,3
3.85:  71.3,71,177.0569,box 3,3
3.87:  71.3,71,177.0569,box 3,3
3.88:  71.3,71,177.0569,box 3,3
3.9:  71.3,71,177.0569,box 3,3
3.92:  71.3,71,177.0569,box 3,3
3.93:  71.3,71,177.0569,box 3,3
3.95:  71.3,71,177.0569,box 3,3
3.97:  71.3,71,177.0569,box 3,3
3.98:  71.3,71,177.0569,box 3,3
4:  71.3,71,177.0569,box 3,3
4.02:  71.3,71,177.0569,box 3,3
4.03:  71.3,71,177.0569,box 3,3
4.05:  71.3,71,177.0569,box 3,3
4.07:  71.3,71,177.0569,box 3,3
4.08:  71.3,71,177.0569,box 3,3
4.1:  71.30064,70.98763,177.0569,box 3,3
4.12:  71.30191,70.9629,177.0569,box 3,3
4.13:  71.30382,70.92574,177.0569,box 3,3
4.15:  71.30638,70.876,177.0569,box 3,3
4.17:  71.30962,70.81288,177.0569,box 3,3
4.18:  71.31347,70.73808,177.0569,box 3,3
4.2:  71.31799,70.65023,177.0569,box 3,3
4.22:  71.32326,70.54765,177.0569,box 3,3
4.23:  71.32887,70.43854,177.0569,box 3,3
4.25:  71.33524,70.31464,177.0569,box 3,3
4.27:  71.34235,70.17621,177.0569,box 3,3
4.28:  71.35002,70.02707,177.0569,box 3,3
4.3:  71.35835,69.8652,177.0569,box 3,3
4.32:  71.36738,69.68956,177.0569,box 3,3
4.33:  71.37698,69.5027,177.0569,box 3,3
4.35:  71.38728,69.30241,177.0569,box 3,3
4.37:  71.39818,69.09041,177.0569,box 3,3
4.38:  71.40958,68.86856,177.0569,box 3,3
4.4:  71.42193,68.62846,177.0569,box 3,3
4.42:  71.43472,68.37962,177.0569,box 3,3
4.43:  71.44756,68.13005,177.0569,box 3,3
4.45:  71.4604,67.88011,177.0569,box 3,3
4.47:  71.47336,67.62815,177.0569,box 3,3
4.48:  71.48607,67.38088,177.0569,box 3,3
4.5:  71.49882,67.13294,177.0569,box 3,3
4.52:  71.51163,66.88368,177.0569,box 3,3
4.53:  71.52463,66.63099,177.0569,box 3,3
4.55:  71.53747,66.38113,177.0569,box 3,3
4.57:  71.55027,66.1322,177.0569,box 3,3
4.58:  71.56293,65.88594,177.0569,box 3,3
4.6:  71.57598,65.63214,177.0569,box 3,3
4.62:  71.58863,65.38603,177.0569,box 3,3
4.63:  71.60168,65.13236,177.0569,box 3,3
4.65:  71.61453,64.88223,177.0569,box 3,3
4.67:  71.6271,64.63791,177.0569,box 3,3
4.68:  71.64007,64.38557,177.0569,box 3,3
4.7:  71.65296,64.1348,177.0569,box 3,3
4.72:  71.66584,63.88437,177.0569,box 3,3
4.73:  71.67866,63.63506,177.0569,box 3,2
4.75:  71.69149,63.38541,177.0569,box 3,2
4.77:  71.70432,63.13603,177.0569,box 3,2
4.78:  71.71722,62.88504,177.0569,box 3,2
4.8:  71.72988,62.63867,177.0569,box 3,2
4.82:  71.74289,62.38572,177.0569,box 3,2
4.83:  71.75567,62.1371,177.0569,box 3,2
4.85:  71.76859,61.88594,177.0569,box 3,2
4.87:  71.78135,61.63765,177.0569,box 3,2
4.88:  71.79418,61.38808,177.0569,box 3,2
4.9:  71.80703,61.13813,177.0569,box 3,2
4.92:  71.81966,60.89235,177.0569,box 3,2
4.93:  71.83266,60.63946,177.0569,box 3,2
4.95:  71.8455,60.3898,177.0569,box 3,2
4.97:  71.85826,60.14165,177.0569,box 3,2
4.98:  71.87119,59.89012,177.0569,box 3,2
5:  71.88394,59.64211,177.0569,box 3,2
5.02:  71.8969,59.39019,177.0569,box 3,2
5.03:  71.90971,59.1408,177.0569,box 3,2
5.05:  71.92254,58.89137,177.0569,box 3,2
5.07:  71.93542,58.64079,177.0569,box 3,2
5.08:  71.94818,58.39271,177.0569,box 3,2
5.1:  71.96113,58.14082,177.0569,box 3,2
5.12:  71.97368,57.89672,177.0569,box 3,2
5.13:  71.98671,57.64334,177.0569,box 3,2
5.15:  71.99959,57.39285,177.0569,box 3,2
