onset	duration	trial_type
0.0	11.665921099483967	objects
14.01283469982448	25.71587639953941	faces
42.00196479912847	53.71615899913013	scrambled
56.00069359969345	67.68294919934124	scenes
70.00066839996722	81.71615019999444	scrambled
84.00048239994794	95.71578169986606	scenes
98.00071699917316	109.71629039943218	faces
126.01179559994489	137.682561699301	objects
154.00233099982142	165.7170973997563	scenes
168.00116419978434	179.69994569942355	scrambled
182.01399939972907	193.7169205993414	objects
196.00110749993473	207.71690369956195	faces
210.00168459955603	221.70041329972446	scrambled
224.00157389976079	235.70062719937414	objects
252.00177649967372	263.75117779988796	faces
266.00954499933863	277.7004100997001	scenes
