onset	duration	trial_type
0.0	11.738591799512534	scrambled
14.002688499167618	25.73774079978469	faces
27.99859049916273	39.7382999993861	scenes
41.99996449984613	53.72213399969044	objects
69.99023579992357	81.67211889941248	scenes
98.00480509921911	109.70623669959608	scrambled
111.9975872999058	123.70610039960596	objects
126.00145559944215	137.70652129966768	faces
140.00071989931175	151.68900669924918	faces
168.00118919927635	179.68927859980616	scenes
181.99290349986407	193.70638399943712	scrambled
196.00037379935387	207.70616009924564	objects
209.99578699935236	221.68926599994305	objects
224.00383539963528	235.72299529984596	scenes
238.0009221993387	249.6898399991915	scrambled
265.9913714993745	277.7066877000034	faces
