ParticipantNo: 11014
Time for Trials (seconds): 60
Controller type: Keyboard and Mouse
Repetition?: Full
DSPType: 1
Encoding Tours: 0
!!1_dsp1_05
!!1_dsp1_05
2.25:  206.9592,20.62911,263.2,box 10,0
2.27:  206.6695,20.5884,262,box 10,0
2.28:  206.4621,20.55369,260.5,box 10,0
2.3:  206.1855,20.49942,258.9,box 10,0
2.32:  205.9441,20.44369,257,box 10,0
2.33:  205.7331,20.38716,255,box 10,0
2.35:  205.4964,20.3107,252.1,box 10,0
2.37:  205.2916,20.14848,250.4,box 10,0
2.38:  205.1008,20.04135,249,box 10,1
2.4:  204.8799,19.93144,247.8,box 10,1
2.42:  204.6234,19.81991,246.5,box 10,1
2.43:  204.4289,19.72794,244.7,box 10,1
2.45:  204.2011,19.61237,243.1,box 10,1
2.47:  203.9829,19.49245,241.2,box 10,1
2.49:  203.7384,19.35355,240.4,box 10,1
2.5:  203.5473,19.24274,239.9,box 10,1
2.52:  203.3333,19.11822,239.8,box 10,1
2.54:  203.0894,18.97453,239.5,box 10,1
2.55:  202.9024,18.86082,238.7,box 10,1
2.57:  202.6672,18.70751,236.9,box 10,1
2.58:  202.4846,18.5834,235.8,box 10,1
2.6:  202.2675,18.43257,235.2,box 10,1
2.62:  202.0555,18.28245,234.7,box 10,1
2.63:  201.8699,18.15057,234.6,box 10,1
2.65:  201.6682,18.00718,234.6,box 10,1
2.67:  201.4422,17.84658,234.6,box 10,1
2.69:  201.2365,17.70145,234.8,box 10,1
2.7:  201.056,17.57839,235.7,box 10,1
2.72:  200.8475,17.44501,237.4,box 10,1
2.73:  200.628,17.31518,239.4,box 10,1
2.75:  200.3798,17.1849,242.3,box 10,1
2.77:  200.1848,17.0864,243.2,box 10,1
2.79:  199.9281,16.97047,245.7,box 10,1
2.8:  199.7266,16.88456,246.9,box 10,1
2.82:  199.4966,16.78972,247.6,box 10,1
2.84:  199.2357,16.68435,248,box 10,1
2.85:  199.0342,16.60374,248.2,box 10,1
2.87:  198.7981,16.51075,248.5001,box 10,1
