onset	duration	trial_type
0.0	11.719662100076675	faces
13.997789599932702	25.63658790010959	scenes
41.9986406005919	53.68702950049192	scrambled
55.99662320036444	67.68664400000125	objects
69.99719050060955	81.65316320024431	faces
97.98745940066874	109.65340580046177	scrambled
111.9876565001905	123.65344690065831	objects
125.9981193002314	137.68699360080063	scenes
153.98930780030787	165.67049230076373	faces
168.00073420070112	179.7372076008469	scenes
181.98806930053985	193.59468520060182	scrambled
195.98819490056485	207.6377040008083	objects
223.99759350065136	235.67092070076615	scenes
237.990921500139	249.6715097008273	scrambled
251.9981365008279	263.70427940040827	faces
265.98844670038676	277.6380045004189	objects
