onset	duration	trial_type
0.0	11.735896700061858	scenes
13.994585699401796	25.73621980007738	objects
27.999829799868166	39.735978099517524	faces
55.999354999512434	67.73602299951017	scrambled
83.98701409995559	95.66947009973228	scenes
97.99773740023375	109.71974090021104	scrambled
111.99638229981062	123.70310029946268	faces
125.99530179984868	137.7033009994775	objects
139.9841714994982	151.6872295998037	scenes
153.97111599985504	165.65321560017765	objects
167.97931910026819	179.70382719952613	faces
195.9811143996194	207.67023229971528	scrambled
223.97259759996086	235.6375594995916	objects
237.97159179952	249.63750489987433	scenes
251.97194909956312	263.67042860016227	scrambled
265.9811506001279	277.6705625997856	faces
