onset	duration	trial_type
0.0	11.728110400028527	scrambled
13.989768600091367	25.707430400070734	faces
28.008609500015126	39.76176900009159	scenes
42.002039300045	53.70865330006927	objects
69.98100360005625	81.70999930007383	scenes
97.98486090009101	109.74398280004971	scrambled
112.00323200004641	123.74160630011465	objects
126.00597630010452	137.74027900001965	faces
139.98456730006728	151.71049590001348	faces
167.99458060006145	179.7270875000395	scenes
181.97117550007533	193.72517640003935	scrambled
195.99398710008245	207.71110820001923	objects
209.9900273000822	221.7255067001097	objects
223.99311750009662	235.70898900006432	scenes
237.98823540005833	249.75828050007112	scrambled
265.9693441001	277.7272169000935	faces
