onset	duration	trial_type
0.0	11.699352499970704	objects
15.523038799990903	27.23277249996318	scenes
29.36686189996544	41.082807199971285	scrambled
44.86529599997448	56.55015669995919	faces
72.06705640000291	83.80126719997497	objects
86.77183539996622	98.50137009995524	scrambled
103.29178859997774	115.03483429999324	scenes
131.36059609998483	143.0850179999834	faces
145.76341359998332	157.50179879995994	objects
160.36346399999456	172.10189900000114	scrambled
175.096701100003	186.85191629995825	scenes
206.1603603999829	217.9022161999601	faces
220.66388789995108	232.40233499999158	objects
235.38065349997487	247.11895219999133	scenes
265.3378426999552	277.0526389000006	scrambled
280.12331919994904	291.8527466999949	faces
