ParticipantNo: 21002_2
Time for Trials (seconds): 60
Controller type: Gamepad
Repetition?: Full
DSPType: 1
Encoding Tours: 0
!!1_dsp1_05
!!1_dsp1_05
2.2:  216.1,31.84,261.2843,box 9,0
2.22:  216.1,31.84,261.2843,box 9,0
2.23:  216.1,31.84,261.2926,box 9,0
2.25:  216.1,31.84,261.3263,box 9,0
2.27:  216.1,31.84,261.4614,box 9,0
2.28:  216.1,31.84,261.7993,box 9,0
2.3:  216.1,31.84,262.2956,box 9,0
2.32:  216.1,31.84,262.9694,box 9,0
2.34:  216.1,31.84,263.7573,box 9,0
2.35:  216.1,31.84,264.5452,box 9,0
2.37:  216.1,31.84,265.3331,box 9,0
2.39:  216.1,31.84,266.1209,box 9,0
2.4:  216.1,31.84,266.9088,box 9,0
2.42:  216.1,31.84,267.6967,box 9,0
2.44:  216.1,31.84,268.4846,box 9,0
2.45:  216.1,31.84,269.2725,box 9,0
2.47:  216.1,31.84,270.0603,box 9,0
2.49:  216.1,31.84,270.8482,box 9,0
2.5:  216.1,31.84,271.6361,box 9,0
2.52:  216.1,31.84,272.424,box 9,0
2.54:  216.1,31.84,273.2119,box 9,0
2.55:  216.1,31.84,273.9997,box 9,0
2.57:  216.1,31.84,274.7876,box 9,0
2.59:  216.1,31.84,275.5755,box 9,0
2.6:  216.1,31.84,276.3633,box 9,0
2.62:  216.1,31.84,277.1512,box 9,0
2.63:  216.1,31.84,277.9391,box 9,0
2.65:  216.1,31.84,278.727,box 9,0
2.67:  216.1,31.84,279.5149,box 9,0
2.68:  216.1,31.84,280.3027,box 9,0
2.7:  216.1,31.84,281.0906,box 9,0
2.72:  216.1,31.84,281.8785,box 9,0
2.74:  216.1,31.84,282.6664,box 9,0
2.75:  216.1,31.84,283.4543,box 9,0
2.77:  216.1,31.84,284.2421,box 9,0
2.79:  216.1,31.84,285.03,box 9,0
2.8:  216.1,31.84,285.8179,box 9,0
2.82:  216.1,31.84,286.6058,box 9,0
2.83:  216.1,31.84,287.3936,box 9,0
2.85:  216.1,31.84,288.1815,box 9,0
2.87:  216.1,31.84,288.9694,box 9,0
2.89:  216.1,31.84,289.7573,box 9,0
2.9:  216.1,31.84,290.5452,box 9,0
2.92:  216.1,31.84,291.333,box 9,0
2.93:  216.1,31.84,292.1209,box 9,0
2.95:  216.1,31.84,292.9088,box 9,0
2.97:  216.1,31.84,293.6967,box 9,0
2.99:  216.1,31.84,294.4845,box 9,0
3:  216.1,31.84,295.2724,box 9,0
3.02:  216.1,31.84,296.0603,box 9,0
3.03:  216.1,31.84,296.8482,box 9,0
3.05:  216.1,31.84,297.636,box 9,0
3.07:  216.1,31.84,298.4239,box 9,0
3.09:  216.1,31.84,299.2118,box 9,0
3.1:  216.1,31.84,299.9997,box 9,0
3.12:  216.1,31.84,300.7876,box 9,0
3.14:  216.1,31.84,301.5754,box 9,0
3.15:  216.1,31.84,302.3633,box 9,0
3.17:  216.1,31.84,303.1512,box 9,0
3.19:  216.1,31.84,303.9391,box 9,0
3.2:  216.1,31.84,304.727,box 9,0
3.22:  216.1,31.84,305.5148,box 9,0
3.24:  216.1,31.84,306.3027,box 9,0
3.25:  216.1,31.84,307.0906,box 9,0
3.27:  216.1,31.84,307.8785,box 9,0
3.29:  216.1,31.84,308.6664,box 9,0
3.3:  216.1,31.84,309.4542,box 9,0
3.32:  216.1,31.84,310.2421,box 9,0
3.34:  216.1,31.84,311.03,box 9,0
3.35:  216.1,31.84,311.8179,box 9,0
3.37:  216.1,31.84,312.6057,box 9,0
3.38:  216.1,31.84,313.3936,box 9,0
3.4:  216.1,31.84,314.1815,box 9,0
3.42:  216.1,31.84,314.9694,box 9,0
3.44:  216.1,31.84,315.7573,box 9,0
3.45:  216.1,31.84,316.5451,box 9,0
3.47:  216.1,31.84,317.333,box 9,0
3.49:  216.1,31.84,318.1209,box 9,0
3.5:  216.1,31.84,318.8961,box 9,0
3.52:  216.1,31.84,319.5255,box 9,0
3.54:  216.1,31.84,319.9775,box 9,0
3.55:  216.1,31.84,320.3027,box 9,0
3.57:  216.1,31.84,320.4695,box 9,0
3.59:  216.1,31.84,320.5222,box 9,0
3.6:  216.1,31.84,320.5432,box 9,0
3.62:  216.0894,31.85292,320.5578,box 9,0
3.63:  216.0658,31.88157,320.5725,box 9,0
3.65:  216.0355,31.94141,320.5808,box 9,0
3.67:  215.9862,32.0453,320.5891,box 9,0
3.68:  215.9359,32.15392,320.5974,box 9,0
3.7:  215.8549,32.32784,320.5994,box 9,0
3.72:  215.7807,32.48986,320.6014,box 9,0
3.73:  215.6985,32.65803,320.6014,box 9,0
3.75:  215.5904,32.87851,320.6014,box 9,0
3.77:  215.5005,33.05554,320.6014,box 9,0
3.78:  215.3822,33.2812,320.6014,box 9,0
3.8:  215.2481,33.53844,320.6014,box 9,0
3.82:  215.1499,33.7259,320.6014,box 9,0
3.83:  215.0316,33.95165,320.6014,box 9,0
3.85:  214.9157,34.17398,320.6034,box 9,0
3.87:  214.786,34.42864,320.6034,box 9,0
3.88:  214.6861,34.62015,320.6053,box 9,0
3.9:  214.5534,34.87475,320.6053,box 9,0
3.92:  214.4362,35.09847,320.6073,box 9,0
3.93:  214.3328,35.29582,320.6093,box 9,0
3.95:  214.2205,35.51139,320.6093,box 9,0
3.97:  214.1035,35.73464,320.6093,box 9,0
3.98:  213.9849,35.96117,320.6113,box 9,0
4:  213.8518,36.21643,320.6113,box 9,0
4.02:  213.7362,36.43721,320.6113,box 9,0
4.03:  213.6306,36.63886,320.6133,box 9,0
4.05:  213.5009,36.8865,320.6153,box 9,0
4.07:  213.3951,37.08863,320.6153,box 9,0
4.08:  213.2841,37.30063,320.6153,box 9,0
4.1:  213.148,37.56046,320.6153,box 9,0
4.12:  213.0541,37.74498,320.6172,box 9,0
4.14:  212.9169,38.00708,320.6192,box 9,0
4.15:  212.8007,38.23008,320.6212,box 9,0
4.17:  212.7038,38.41607,320.6232,box 9,0
4.18:  212.5876,38.63919,320.6232,box 9,0
4.2:  212.4704,38.863,320.6252,box 9,0
4.22:  212.3548,39.08383,320.6252,box 9,0
4.23:  212.2396,39.31034,320.6252,box 9,0
4.25:  212.1041,39.56917,320.6252,box 9,0
4.27:  212.0089,39.75617,320.6252,box 9,0
4.29:  211.8762,40.01697,320.6252,box 9,0
4.3:  211.7797,40.20671,320.6252,box 9,0
4.32:  211.6458,40.46244,320.6252,box 9,0
4.33:  211.5458,40.65353,320.6252,box 8,0
4.35:  211.4113,40.91047,320.6252,box 8,0
4.37:  211.3134,41.09852,320.6271,box 8,0
4.39:  211.1764,41.3603,320.6271,box 8,0
4.4:  211.0791,41.54708,320.6271,box 8,0
4.42:  210.9464,41.80186,320.6291,box 8,0
4.43:  210.8469,41.99288,320.6311,box 8,0
4.45:  210.7146,42.24704,320.6331,box 8,0
4.47:  210.6042,42.4641,320.6351,box 8,0
4.48:  210.4991,42.6659,320.6351,box 8,0
4.5:  210.3865,42.88615,320.6351,box 8,0
4.52:  210.2566,43.14148,320.6371,box 8,0
4.53:  210.1587,43.33407,320.6371,box 8,0
4.55:  210.0266,43.59254,320.6371,box 8,0
4.57:  209.9348,43.78185,320.6371,box 8,0
4.58:  209.8347,44.01297,320.6371,box 8,0
4.6:  209.7193,44.27944,320.639,box 8,0
4.62:  209.623,44.5018,320.639,box 8,0
4.63:  209.5341,44.70706,320.639,box 8,0
4.65:  209.4374,44.93037,320.641,box 8,0
4.67:  209.3233,45.19397,320.643,box 8,0
4.68:  209.2383,45.39025,320.643,box 8,0
4.7:  209.1231,45.65627,320.643,box 8,0
4.72:  209.0269,45.87837,320.645,box 8,0
4.73:  208.942,46.07457,320.645,box 8,0
4.75:  208.8264,46.34172,320.645,box 8,0
4.77:  208.7441,46.53182,320.6469,box 8,0
4.79:  208.6276,46.80085,320.6469,box 8,0
4.8:  208.5437,46.99469,320.6469,box 8,0
4.82:  208.4463,47.21964,320.6469,box 8,0
4.84:  208.3305,47.48718,320.6469,box 8,0
4.85:  208.2459,47.6826,320.6469,box 8,0
4.87:  208.1325,47.94454,320.6469,box 8,0
4.88:  208.0475,48.14089,320.6469,box 8,0
4.9:  207.9485,48.36963,320.6469,box 8,0
4.92:  207.8352,48.63137,320.6489,box 8,0
4.93:  207.7503,48.82749,320.6489,box 8,0
4.95:  207.636,49.0915,320.6509,box 8,0
4.97:  207.5537,49.28176,320.6509,box 8,0
4.99:  207.4376,49.55,320.6529,box 8,0
5:  207.3411,49.77454,320.6549,box 8,0
5.02:  207.2571,49.96869,320.6549,box 8,0
5.03:  207.1576,50.19868,320.6549,box 8,0
5.05:  207.058,50.42899,320.6549,box 8,0
5.07:  206.9611,50.65446,320.6549,box 8,0
5.09:  206.8454,50.92188,320.6549,box 8,0
5.1:  206.7609,51.11705,320.6549,box 8,0
5.12:  206.6627,51.34414,320.6549,box 8,0
5.14:  206.5475,51.61031,320.6549,box 8,0
5.15:  206.463,51.80544,320.6569,box 8,0
5.17:  206.3649,52.03221,320.6588,box 8,0
5.19:  206.3373,52.29921,320.6588,box 8,0
5.2:  206.3373,52.49208,320.6588,box 8,0
5.22:  206.3373,52.75423,320.6588,box 8,0
5.23:  206.3373,52.94667,320.6588,box 8,0
5.25:  206.3373,53.21281,320.6608,box 8,0
5.27:  206.3373,53.44017,320.6628,box 8,0
5.28:  206.3373,53.66105,320.6648,box 8,0
5.3:  206.3373,53.86888,320.6667,box 8,0
5.32:  206.3373,54.1297,320.6687,box 8,0
5.34:  206.3373,54.35875,320.6687,box 8,0
5.35:  206.3366,54.56583,320.6687,box 8,0
5.37:  206.3366,54.80876,320.6687,box 8,0
5.39:  206.3366,55.05034,320.6707,box 8,0
5.4:  206.3366,55.24543,320.6707,box 8,0
5.42:  206.3366,55.50358,320.6707,box 8,0
5.43:  206.3366,55.72269,320.6707,box 8,0
5.45:  206.3366,55.94273,320.6707,box 8,0
5.47:  206.3366,56.15675,320.6707,box 8,0
5.49:  206.3366,56.42554,320.6727,box 8,0
5.5:  206.3357,56.62127,320.6727,box 8,0
5.52:  206.334,56.84729,320.6727,box 8,0
5.53:  206.3324,57.08134,320.6727,box 8,0
5.55:  206.3324,57.31894,320.6727,box 8,0
5.57:  206.3324,57.58502,320.6747,box 8,0
5.59:  206.3324,57.82257,320.6767,box 8,0
5.6:  206.3324,58.01756,320.6767,box 8,0
5.62:  206.3324,58.24726,320.6767,box 8,0
5.64:  206.3324,58.52005,320.6767,box 8,0
5.65:  206.3324,58.71777,320.6767,box 8,0
5.67:  206.3324,58.94629,320.6767,box 8,0
5.68:  206.3324,59.1839,320.6767,box 8,0
5.7:  206.3324,59.42074,320.6767,box 8,0
5.72:  206.3324,59.65374,320.6767,box 8,0
5.73:  206.3324,59.88789,320.6767,box 8,0
5.75:  206.3324,60.15788,320.6786,box 8,0
5.77:  206.3324,60.3518,320.6806,box 8,0
5.78:  206.3324,60.58961,320.6806,box 8,0
5.8:  206.3324,60.82469,320.6806,box 8,0
5.82:  206.3324,61.05297,320.6806,box 7,0
5.83:  206.3324,61.2879,320.6826,box 7,0
5.85:  206.3324,61.52404,320.6826,box 7,0
5.87:  206.3324,61.75795,320.6826,box 7,0
5.89:  206.3324,62.02773,320.6846,box 7,0
5.9:  206.3324,62.22384,320.6866,box 7,0
5.92:  206.3324,62.4589,320.6866,box 7,0
5.93:  206.3324,62.69632,320.6866,box 7,0
5.95:  206.3324,62.96763,320.6866,box 7,0
5.97:  206.3324,63.16201,320.6866,box 7,0
5.98:  206.3324,63.4019,320.6866,box 7,0
6:  206.3324,63.6783,320.6885,box 7,0
6.02:  206.3324,63.8685,320.6885,box 7,0
6.04:  206.3324,64.14007,320.6885,box 7,0
6.05:  206.3324,64.33951,320.6885,box 7,0
6.07:  206.3324,64.57145,320.6885,box 7,0
6.09:  206.3324,64.84687,320.6885,box 7,0
6.1:  206.3324,65.04228,320.6905,box 7,0
6.12:  206.3324,65.31217,320.6905,box 7,0
6.13:  206.3324,65.50919,320.6905,box 7,0
6.15:  206.3324,65.74464,320.6905,box 7,0
6.17:  206.3324,65.97668,320.6925,box 7,0
6.19:  206.3324,66.25124,320.6925,box 7,0
6.2:  206.3324,66.48281,320.6945,box 7,0
6.22:  206.3324,66.67851,320.6945,box 7,0
6.24:  206.3324,66.95171,320.6945,box 7,0
6.25:  206.3324,67.18964,320.6945,box 7,0
6.27:  206.3324,67.38562,320.6945,box 7,0
6.29:  206.3324,67.65714,320.6965,box 7,0
6.3:  206.3324,67.89353,320.6965,box 7,0
6.32:  206.3324,68.08873,320.6965,box 7,0
6.33:  206.3324,68.32646,320.6965,box 7,0
6.35:  206.3324,68.59914,320.6985,box 7,0
6.37:  206.3324,68.79229,320.7004,box 7,0
6.39:  206.3324,69.06692,320.7024,box 7,0
6.4:  206.3324,69.26393,320.7044,box 7,0
6.42:  206.3324,69.49638,320.7044,box 7,0
6.43:  206.3324,69.73378,320.7044,box 7,0
6.45:  206.3324,70.00509,320.7044,box 7,0
6.47:  206.3324,70.23586,320.7044,box 7,0
6.49:  206.3324,70.47315,320.7044,box 7,0
6.5:  206.3324,70.70657,320.7044,box 7,0
6.52:  206.3324,70.90247,320.7064,box 7,0
6.53:  206.3324,71.1398,320.7064,box 7,0
6.55:  206.3324,71.4119,320.7064,box 7,0
6.57:  206.3324,71.64364,320.7064,box 7,0
