ParticipantNo: 11003
Time for Trials (seconds): 60
Controller type: Gamepad
Repetition?: Full
DSPType: 1
Encoding Tours: 0
!!1_dsp1_06
!!1_dsp1_06
2.07:  214.3615,23.7008,246.7884,box 10,0
2.08:  214.2155,23.48976,247.1453,box 10,0
2.1:  214.0798,23.27969,247.4769,box 10,0
2.12:  213.9416,23.07178,247.7704,box 10,0
2.13:  213.8038,22.86414,248.0512,box 10,0
2.15:  213.6651,22.65982,248.3321,box 10,0
2.17:  213.5125,22.46132,248.6129,box 10,0
2.18:  213.3372,22.27712,248.8938,box 10,0
2.2:  213.1393,22.12034,249.1746,box 10,0
2.22:  212.9321,21.97252,249.4555,box 10,0
2.23:  212.7183,21.83097,249.7427,box 10,0
2.25:  212.5007,21.69433,250.0425,box 10,0
2.27:  212.2816,21.57256,250.3931,box 10,0
2.28:  212.0528,21.45862,250.7944,box 10,0
2.3:  211.821,21.36442,251.2527,box 10,0
2.32:  211.5846,21.27867,251.7427,box 10,0
2.33:  211.3481,21.20308,252.277,box 10,0
2.35:  211.1099,21.12957,252.8494,box 10,0
2.37:  210.8705,21.05833,253.4282,box 10,0
2.38:  210.6373,20.99156,254.0196,box 10,0
2.4:  210.3957,20.92514,254.63,box 10,0
2.42:  210.1527,20.86111,255.2404,box 10,0
2.43:  209.9037,20.79834,255.8508,box 10,0
2.45:  209.6543,20.73828,256.4612,box 10,0
2.47:  209.4124,20.68275,257.0717,box 10,0
2.48:  209.17,20.62975,257.6631,box 10,0
2.5:  208.9221,20.57794,258.1974,box 10,0
2.52:  208.6793,20.52929,258.6684,box 10,0
2.54:  208.4298,20.48102,259.0507,box 10,0
2.55:  208.1845,20.43461,259.2872,box 10,0
2.57:  207.9423,20.37937,259.3969,box 10,0
2.58:  207.7021,20.30453,259.4052,box 10,0
2.6:  207.4636,20.22006,259.4072,box 10,0
2.62:  207.2415,20.13416,259.4072,box 10,0
2.63:  207.0117,20.04279,259.4091,box 10,0
2.65:  206.7732,19.94794,259.4091,box 10,0
2.67:  206.5355,19.8534,259.4111,box 10,0
2.68:  206.297,19.7612,259.4131,box 10,0
2.7:  206.0553,19.66513,259.4214,box 10,0
2.72:  205.8073,19.56971,259.4995,box 10,0
2.74:  205.5633,19.47404,259.6852,box 10,0
2.75:  205.3275,19.38301,259.9851,box 10,0
2.77:  205.0902,19.29331,260.3864,box 10,1
2.78:  204.8596,19.21331,260.8764,box 10,1
2.8:  204.6204,19.13301,261.4488,box 10,1
2.82:  204.3815,19.0556,262.0592,box 10,1
2.83:  204.1368,18.97926,262.6823,box 10,1
2.85:  203.8931,18.90615,263.3054,box 10,1
2.87:  203.6511,18.83643,263.9348,box 10,1
2.88:  203.3972,18.76625,264.5579,box 10,1
2.9:  203.1526,18.69651,265.181,box 10,1
2.92:  202.9067,18.62411,265.7661,box 10,1
2.93:  202.6611,18.54916,266.2687,box 10,1
2.95:  202.4159,18.46879,266.6763,box 10,1
2.97:  202.1714,18.38663,266.9255,box 10,1
2.98:  201.9306,18.30313,267.0479,box 10,1
3:  201.6952,18.20766,267.0562,box 10,1
3.02:  201.4641,18.10214,267.0562,box 10,1
3.03:  201.2368,17.98735,267.0542,box 10,1
3.05:  201.0128,17.86808,267.0522,box 10,1
3.07:  200.7908,17.74871,267.0439,box 10,1
3.08:  200.5687,17.6292,267.0356,box 10,1
3.1:  200.3478,17.51025,267.0209,box 10,1
3.12:  200.1261,17.39083,267.0126,box 10,1
3.13:  199.9108,17.27236,266.998,box 10,1
3.15:  199.6903,17.15231,266.9897,box 10,1
3.17:  199.4691,17.03296,266.975,box 10,1
3.18:  199.2514,16.91429,266.9667,box 10,1
3.2:  199.03,16.79226,266.952,box 10,1
3.22:  198.7878,16.6601,266.9437,box 10,1
3.24:  198.5513,16.53226,266.929,box 10,1
3.25:  198.3434,16.41988,266.929,box 10,1
3.27:  198.1244,16.29792,266.95,box 10,1
3.29:  197.9037,16.177,267.0978,box 10,1
3.3:  197.6845,16.05704,267.3787,box 10,1
3.32:  197.4624,15.94007,267.7863,box 10,1
3.34:  197.2371,15.82283,268.327,box 10,1
3.35:  197.0134,15.71197,268.9627,box 10,1
3.37:  196.7991,15.60805,269.6872,box 10,1
3.39:  196.5697,15.50061,270.4561,box 10,1
3.4:  196.341,15.39829,271.225,box 10,1
3.42:  196.11,15.29757,272.0002,box 10,1
3.44:  195.8777,15.20113,272.7754,box 10,1
3.45:  195.646,15.10727,273.5062,box 10,1
3.47:  195.4123,15.01455,274.18,box 10,1
3.49:  195.1758,14.9258,274.7524,box 10,1
3.5:  194.9404,14.83841,275.1917,box 10,1
3.52:  194.7066,14.75296,275.4789,box 10,1
3.54:  194.47,14.66719,275.633,box 10,1
3.55:  194.2441,14.58535,275.6476,box 10,1
3.57:  194.0193,14.50391,275.6496,box 10,1
3.58:  193.782,14.4191,275.6496,box 10,1
3.6:  193.5475,14.33417,275.6496,box 10,1
3.62:  193.3116,14.24985,275.6496,box 10,1
3.63:  193.07,14.16107,275.6496,box 10,1
3.65:  192.8365,14.0765,275.6496,box 10,1
3.67:  192.5991,13.99164,275.6496,box 10,1
3.68:  192.3571,13.90514,275.6496,box 10,1
3.7:  192.1205,13.81824,275.6496,box 10,1
3.72:  191.8809,13.73262,275.6579,box 10,1
3.73:  191.6405,13.64479,275.755,box 10,1
3.75:  191.4042,13.56065,275.9598,box 10,1
3.77:  191.1574,13.47555,276.2913,box 10,1
3.79:  190.9113,13.39056,276.7686,box 10,1
3.8:  190.6915,13.31807,277.3157,box 10,1
3.82:  190.4579,13.24408,277.9831,box 10,1
3.83:  190.2164,13.16864,278.714,box 10,1
3.85:  189.9724,13.09599,279.4828,box 10,1
3.87:  189.7184,13.02652,280.2644,box 10,1
3.89:  189.4633,12.96047,281.0459,box 10,1
3.9:  189.2179,12.90162,281.8338,box 10,1
3.92:  188.974,12.84557,282.6153,box 10,1
3.94:  188.7283,12.79357,283.3715,box 10,1
3.95:  188.4781,12.74385,284.077,box 10,1
3.97:  188.249,12.69993,284.7128,box 10,1
3.98:  188.015,12.6575,285.2788,box 10,1
4:  187.7657,12.61549,285.7562,box 10,1
4.02:  187.5179,12.57533,286.113,box 10,1
4.03:  187.2686,12.53493,286.3559,box 10,1
4.05:  187.0213,12.49554,286.5099,box 10,1
4.07:  186.772,12.45505,286.5943,box 10,1
4.08:  186.522,12.41688,286.6407,box 10,1
4.1:  186.2807,12.37692,286.6617,box 10,1
4.12:  186.0334,12.33712,286.6763,box 10,1
4.13:  185.7805,12.29765,286.691,box 10,1
4.15:  185.5343,12.25928,286.6993,box 10,1
4.17:  185.2852,12.22048,286.7076,box 10,2
4.18:  185.037,12.18188,286.7223,box 10,2
4.2:  184.7893,12.14341,286.7306,box 10,2
4.22:  184.5375,12.10319,286.7452,box 10,2
4.23:  184.2924,12.06627,286.7535,box 10,2
4.25:  184.0373,12.02679,286.7619,box 10,2
4.27:  183.7733,11.98709,286.7702,box 10,2
4.29:  183.5218,11.94707,286.7785,box 10,2
4.3:  183.2753,11.9101,286.7868,box 10,2
4.32:  183.0229,11.87453,286.7951,box 10,2
4.34:  182.7746,11.83839,286.8035,box 10,2
4.35:  182.5197,11.80465,286.8118,box 10,2
4.37:  182.2686,11.77822,286.8264,box 10,2
4.39:  182.0201,11.76206,286.8348,box 10,2
4.4:  181.7677,11.74798,286.8367,box 10,2
4.42:  181.5165,11.74178,286.8451,box 10,2
4.44:  181.2779,11.74106,286.847,box 10,2
4.45:  181.0337,11.74033,286.849,box 10,2
4.47:  180.7833,11.74262,286.851,box 10,2
4.48:  180.528,11.74802,286.853,box 10,2
4.5:  180.2705,11.75413,286.855,box 10,2
4.52:  180.0147,11.76558,286.8633,box 10,2
4.53:  179.7518,11.77979,286.8653,box 10,2
4.55:  179.4947,11.79611,286.8736,box 10,2
4.57:  179.2391,11.81477,286.8819,box 10,2
4.58:  178.9836,11.83586,286.8902,box 10,2
4.6:  178.7293,11.85929,286.8985,box 10,2
4.62:  178.4733,11.88293,286.9069,box 10,2
4.64:  178.2149,11.90927,286.9152,box 10,2
4.65:  177.9704,11.93423,286.9235,box 10,2
4.67:  177.7237,11.96179,286.9255,box 10,2
4.68:  177.4717,11.98995,286.9274,box 10,2
4.7:  177.2186,12.01823,286.9294,box 10,2
4.72:  176.9665,12.05129,286.9314,box 10,2
4.73:  176.7153,12.08425,286.9397,box 10,2
4.75:  176.4644,12.11722,286.9481,box 10,2
4.77:  176.2095,12.15073,286.95,box 10,2
4.79:  175.9527,12.18699,286.952,box 10,2
4.8:  175.7011,12.22008,286.954,box 10,2
4.82:  175.4491,12.25325,286.9623,box 10,2
4.84:  175.1904,12.28983,286.9643,box 10,2
4.85:  174.9417,12.32502,286.9663,box 10,2
4.87:  174.6907,12.36053,286.9683,box 10,2
4.89:  174.4391,12.39369,286.9702,box 10,2
4.9:  174.1877,12.4293,286.9785,box 10,2
4.92:  173.9383,12.46222,286.9805,box 10,2
4.94:  173.685,12.49569,286.9888,box 10,2
4.95:  173.4325,12.52665,286.9972,box 10,2
4.97:  173.183,12.55724,286.9991,box 10,2
4.99:  172.9301,12.58826,287.0011,box 10,2
5:  172.6782,12.61919,287.0095,box 10,2
5.02:  172.4249,12.64787,287.0114,box 10,2
5.04:  172.1712,12.67661,287.0134,box 10,2
5.05:  171.9121,12.70596,287.0154,box 10,2
5.07:  171.6669,12.73377,287.0237,box 10,2
5.09:  171.4133,12.76013,287.0257,box 10,2
5.1:  171.1602,12.78888,287.034,box 10,2
5.12:  170.8941,12.81659,287.0359,box 10,2
5.14:  170.6529,12.83711,287.0379,box 10,2
5.15:  170.3961,12.85658,287.0399,box 10,2
5.17:  170.1523,12.87277,287.0419,box 10,2
5.18:  169.9009,12.88192,287.0502,box 10,2
5.2:  169.6477,12.88581,287.0522,box 10,2
5.22:  169.3947,12.86805,287.0605,box 10,2
5.23:  169.1423,12.83351,287.0625,box 10,2
