ParticipantNo: 11007
Time for Trials (seconds): 60
Controller type: Keyboard and Mouse
Repetition?: Full
DSPType: 1
Encoding Tours: 0
!!1_dsp1_14
!!1_dsp1_14
2.37:  32.2,31.9,129.3,box 9,9
2.38:  32.2,31.9,128.9,box 9,9
2.4:  32.2,31.9,128.9,box 9,9
2.42:  32.2,31.9,128.9,box 9,9
2.43:  32.2,31.9,128.9,box 9,9
2.45:  32.2,31.9,128.9,box 9,9
2.47:  32.2,31.9,128.9,box 9,9
2.49:  32.2,31.9,128.9,box 9,9
2.5:  32.2,31.9,128.9,box 9,9
2.52:  32.2,31.9,128.9,box 9,9
2.53:  32.2,31.9,128.9,box 9,9
2.55:  32.2,31.9,128.9,box 9,9
2.57:  32.2,31.9,128.9,box 9,9
2.58:  32.2,31.9,128.9,box 9,9
2.6:  32.2,31.9,128.9,box 9,9
2.62:  32.2,31.9,128.9,box 9,9
2.63:  32.2,31.9,128.9,box 9,9
2.65:  32.2,31.9,128.9,box 9,9
2.67:  32.2,31.9,128.9,box 9,9
2.68:  32.2,31.9,128.9,box 9,9
2.7:  32.2,31.9,128.9,box 9,9
2.72:  32.2,31.9,128.5,box 9,9
2.73:  32.2,31.9,127.3,box 9,9
2.75:  32.2,31.9,125.6,box 9,9
2.77:  32.2,31.9,123.1,box 9,9
2.78:  32.2,31.9,117.8,box 9,9
2.8:  32.2,31.9,113.4,box 9,9
2.82:  32.2,31.9,108.2,box 9,9
2.83:  32.2,31.9,101.8,box 9,9
2.85:  32.2,31.9,94.50002,box 9,9
2.87:  32.2,31.9,87.60001,box 9,9
2.88:  32.2,31.9,82.00001,box 9,9
2.9:  32.2,31.9,78.50002,box 9,9
2.92:  32.2,31.9,78.40001,box 9,9
2.93:  32.2,31.9,78.40001,box 9,9
2.95:  32.2,31.9,78.40001,box 9,9
2.97:  32.2,31.9,78.40001,box 9,9
2.98:  32.2,31.9,78.40001,box 9,9
3:  32.2,31.9,78.40001,box 9,9
3.02:  32.2,31.9,78.40001,box 9,9
3.03:  32.2,31.9,78.40001,box 9,9
3.05:  32.2,31.9,78.40001,box 9,9
3.07:  32.2,31.9,78.40001,box 9,9
3.08:  32.2,31.9,78.40001,box 9,9
3.1:  32.2,31.9,78.40001,box 9,9
3.12:  32.2,31.9,78.40001,box 9,9
3.13:  32.2,31.9,78.40001,box 9,9
3.15:  32.2,31.9,78.40001,box 9,9
3.17:  32.2,31.9,78.40001,box 9,9
3.18:  32.2,31.9,78.40001,box 9,9
3.2:  32.2,31.9,78.40001,box 9,9
3.22:  32.2,31.9,78.40001,box 9,9
3.23:  32.2,31.9,78.40001,box 9,9
3.25:  32.2,31.9,77.60001,box 9,9
3.27:  32.2,31.9,77.3,box 9,9
3.28:  32.2,31.9,73.3,box 9,9
3.3:  32.2,31.9,67.50001,box 9,9
3.32:  32.2,31.9,60.90002,box 9,9
