ParticipantNo: 12003
Repetition?: Full
DSPType: 2
Encoding Tours: 0
!!1_dsp2_18
!!1_dsp2_18
2.08:  187.8684,69.02716,22.27345,box 9,3
2.1:  187.9237,69.26532,21.98627,box 9,3
2.12:  187.9714,69.53376,21.69908,box 9,3
2.13:  188.0135,69.77797,21.4119,box 9,3
2.15:  188.0516,70.02033,21.12471,box 9,3
2.17:  188.0905,70.27521,20.83753,box 9,3
2.18:  188.1281,70.53027,20.55034,box 9,3
2.2:  188.1639,70.7822,20.26316,box 9,3
2.22:  188.2007,71.05078,19.97597,box 9,3
2.23:  188.236,71.30031,19.68879,box 9,3
2.25:  188.2778,71.53907,19.4016,box 9,3
2.27:  188.3309,71.78001,19.12075,box 9,3
2.28:  188.4035,72.02378,18.84624,box 9,3
2.3:  188.4827,72.25928,18.57173,box 9,3
2.32:  188.5602,72.49372,18.29722,box 9,3
2.33:  188.6387,72.73462,18.0544,box 9,3
2.35:  188.7209,72.98981,17.86228,box 9,3
2.37:  188.7953,73.22223,17.73355,box 9,3
2.38:  188.8712,73.45988,17.71255,box 9,3
2.4:  188.9434,73.68604,17.71057,box 9,3
2.42:  189.0237,73.93749,17.71057,box 9,3
2.43:  189.1006,74.17828,17.71889,box 9,3
2.45:  189.1721,74.40165,17.73989,box 9,3
2.47:  189.2472,74.63625,17.76088,box 9,3
2.48:  189.3254,74.87997,17.78188,box 9,3
2.5:  189.4011,75.11594,17.79653,box 9,3
2.52:  189.4764,75.35046,17.79851,box 9,3
2.53:  189.5541,75.59235,17.79851,box 9,3
2.55:  189.6289,75.82551,17.79851,box 9,3
2.57:  189.7057,76.06462,17.79851,box 9,3
2.58:  189.783,76.30549,17.79851,box 9,3
2.6:  189.8587,76.5413,17.79851,box 9,3
2.62:  189.9354,76.78002,17.79851,box 9,3
2.63:  190.0179,77.03709,17.79851,box 9,3
2.65:  190.0936,77.27295,17.79851,box 9,3
2.67:  190.1676,77.50356,17.79851,box 9,3
2.68:  190.2452,77.74508,17.79851,box 9,3
2.7:  190.3184,77.97313,17.79851,box 9,3
2.72:  190.394,78.20862,17.79851,box 9,3
2.73:  190.4717,78.45068,17.79851,box 9,3
2.75:  190.5477,78.68748,17.79851,box 9,3
2.77:  190.6232,78.9227,17.79851,box 9,3
