ParticipantNo: 11005
Time for Trials (seconds): 60
Controller type: Gamepad
Repetition?: Full
DSPType: 1
Encoding Tours: 0
!!1_dsp1_02
!!1_dsp1_02
2.03:  146.0066,175.1696,218.7737,box 2,3
2.05:  145.7753,175.0766,218.2964,box 2,3
2.07:  145.4992,174.9631,217.8254,box 2,3
2.08:  145.3095,174.8832,217.3544,box 2,4
2.1:  145.0775,174.7833,216.8834,box 2,4
2.11:  144.8493,174.6828,216.4124,box 2,4
2.13:  144.6188,174.579,215.9415,box 2,4
2.15:  144.3917,174.4743,215.4451,box 2,4
2.17:  144.125,174.3482,214.8854,box 2,4
2.18:  143.8987,174.2382,214.2623,box 2,4
2.2:  143.69,174.1337,213.5822,box 2,4
2.21:  143.4824,174.0265,212.8703,box 2,4
2.23:  143.2673,173.9118,212.1205,box 2,4
2.25:  143.049,173.7916,211.3453,box 2,4
2.26:  142.8343,173.6709,210.5638,box 2,4
2.28:  142.5795,173.5214,209.7759,box 2,4
2.3:  142.363,173.3927,208.988,box 2,4
2.32:  142.1729,173.274,208.2001,box 2,4
2.33:  141.973,173.1453,207.4122,box 2,4
2.35:  141.7641,173.0067,206.6244,box 2,4
2.37:  141.5221,172.8414,205.8428,box 2,4
2.38:  141.3552,172.7184,205.0676,box 2,4
2.4:  141.1241,172.5289,204.3241,box 2,4
2.42:  140.9254,172.3588,203.6186,box 2,4
2.43:  140.7724,172.2137,202.9385,box 2,4
2.45:  140.601,172.04,202.3027,box 2,4
2.46:  140.429,171.8574,201.686,box 2,4
2.48:  140.2346,171.6387,201.0882,box 2,4
2.5:  140.1,171.4732,200.5031,box 2,4
2.52:  139.9203,171.2376,199.9434,box 2,4
2.53:  139.7941,171.0645,199.4027,box 2,4
2.55:  139.6443,170.8541,198.9001,box 2,4
2.57:  139.4742,170.6114,198.4798,box 2,4
2.58:  139.3551,170.4322,198.1229,box 2,4
2.6:  139.2206,170.2094,197.8737,box 2,4
2.62:  139.0683,169.9557,197.745,box 2,4
2.63:  138.9648,169.7671,197.6543,box 2,4
2.65:  138.8464,169.5406,197.5952,box 2,4
2.66:  138.7377,169.317,197.5552,box 2,4
2.68:  138.6381,169.0838,197.5279,box 2,4
2.7:  138.5288,168.8131,197.5069,box 2,4
2.71:  138.4537,168.616,197.4859,box 2,4
2.73:  138.3698,168.382,197.4713,box 2,4
2.75:  138.2954,168.1452,197.4566,box 2,4
2.76:  138.2211,167.9088,197.4419,box 2,4
2.78:  138.1453,167.6672,197.4273,box 2,4
2.8:  138.0721,167.434,197.4063,box 2,4
2.81:  137.9975,167.1955,197.3853,box 2,4
2.83:  137.9229,166.957,197.3707,box 2,4
2.85:  137.8483,166.7182,197.3497,box 2,4
2.86:  137.7738,166.4796,197.3287,box 2,4
2.88:  137.6993,166.2405,197.3077,box 2,4
2.9:  137.6247,166.0009,197.2867,box 2,4
2.91:  137.5499,165.76,197.2657,box 2,4
2.93:  137.4636,165.4818,197.232,box 2,4
2.95:  137.4005,165.2779,197.192,box 2,4
2.96:  137.3271,165.0401,197.1583,box 2,4
2.98:  137.242,164.7639,197.1247,box 2,4
3:  137.1795,164.5605,197.0847,box 2,4
3.01:  137.1061,164.3212,197.0446,box 2,4
3.03:  137.0211,164.0432,197.0046,box 2,4
3.05:  136.9613,163.8472,196.9646,box 2,4
3.06:  136.8884,163.6075,196.9246,box 3,4
3.08:  136.8156,163.3678,196.8846,box 3,4
3.1:  136.743,163.1281,196.8446,box 3,4
3.11:  136.6709,162.8893,196.8109,box 3,4
3.13:  136.5985,162.6494,196.7963,box 3,4
3.15:  136.5256,162.4078,196.7816,box 3,4
3.17:  136.4436,162.1359,196.7733,box 3,4
3.18:  136.382,161.9314,196.765,box 3,4
3.2:  136.3101,161.6925,196.7567,box 3,4
3.21:  136.2382,161.4536,196.7484,box 3,4
3.23:  136.166,161.2134,196.74,box 3,4
3.25:  136.0935,160.9722,196.7317,box 3,4
3.27:  136.0119,160.701,196.7297,box 3,4
3.28:  135.9398,160.461,196.7214,box 3,4
3.3:  135.8781,160.2554,196.7194,box 3,4
3.31:  135.8067,160.0176,196.7111,box 3,4
3.33:  135.7351,159.779,196.7028,box 3,4
3.35:  135.6712,159.5407,196.6945,box 3,4
3.36:  135.6134,159.2969,196.6925,box 3,4
3.38:  135.5624,159.0069,196.6842,box 3,4
3.4:  135.5339,158.7973,196.6759,box 3,4
3.42:  135.5027,158.5064,196.6675,box 3,4
3.43:  135.4875,158.2863,196.6529,box 3,4
3.45:  135.477,158.0282,196.6382,box 3,4
3.46:  135.4697,157.7752,196.6236,box 3,4
3.48:  135.4623,157.5179,196.6152,box 3,4
3.5:  135.4549,157.261,196.6006,box 3,4
3.51:  135.4485,157.0111,196.5923,box 3,4
3.53:  135.4418,156.7522,196.5776,box 3,4
3.55:  135.4354,156.4995,196.5693,box 3,4
3.57:  135.4282,156.2146,196.5547,box 3,4
3.58:  135.4227,155.994,196.54,box 3,4
3.6:  135.4164,155.7393,196.5253,box 3,4
3.61:  135.4101,155.4832,196.5107,box 3,4
3.63:  135.4041,155.2352,196.496,box 3,4
3.65:  135.3979,154.9759,196.4877,box 3,4
3.67:  135.3911,154.6919,196.4794,box 3,4
3.68:  135.3858,154.47,196.4794,box 3,4
3.7:  135.3797,154.2161,196.4794,box 3,4
3.71:  135.3707,153.9615,196.4794,box 3,4
3.73:  135.3536,153.7035,196.4794,box 3,4
3.75:  135.3275,153.452,196.4794,box 3,4
3.76:  135.2896,153.2033,196.4814,box 3,4
3.78:  135.2357,152.923,196.4897,box 3,4
3.8:  135.1887,152.7123,196.498,box 3,4
3.81:  135.1311,152.4656,196.5,box 3,4
3.83:  135.0745,152.223,196.502,box 3,4
3.85:  135.0153,151.9803,196.5103,box 3,4
3.86:  134.9568,151.7406,196.5186,box 3,4
