trial_type	onset	duration	response_time	same_or_diff	response	correct	env_type	vid_file
instructions	0.0	5.982698200008599						
learning_vid	5.982698200008599	59.9993713000149					alternate	./DSP_Videos/Learning/Learning_Alternate.mp4
instructions	82.39407249999933	5.989177000010372						
control_vid	88.3832495000097	60.00002350000432					alternate	./DSP_Videos/Control/Alternate/Videos/Control_Route_3_Alternate_A_000_same.mp4
response	148.38327300001401	9.99996290000854		same	none_recorded	False		
instructions	173.38581880001587	5.981585200002826						
learning_vid	179.3674040000187	59.99991419998699					alternate	./DSP_Videos/Learning/Learning_Alternate.mp4
instructions	255.78889730002265	5.995876599976327						
control_vid	261.784773899999	59.99968020000961					alternate	./DSP_Videos/Control/Alternate/Videos/Control_Route_2_Alternate_B_000_same.mp4
response	321.7844541000086	10.000305599998683		same	none_recorded	False		
instructions	346.78894710002345	5.979801499983296						
learning_vid	352.76874860000675	59.99993260001071					alternate	./DSP_Videos/Learning/Learning_Alternate.mp4
