onset	duration	trial_type	response_time	same_or_diff	response	correct	env_type	vid_file
0.0	5.9972858000255584	instructions						
5.9972858000255584	59.987875799997695	learning_vid					alternate	./DSP_Videos/Learning/Learning_Alternate.mp4
82.43362450000129	5.984351700026323	instructions						
88.41797620002762	59.99966129998211	control_vid					alternate	./DSP_Videos/Control/Alternate/Videos/Control_Route_3_Alternate_B_001_same.mp4
148.41763750000973	10.00026010000144	response		same	none_recorded	False		
173.42193710000717	5.980080700013815	instructions						
179.40201780002099	59.99967409999226	learning_vid					alternate	./DSP_Videos/Learning/Learning_Alternate.mp4
255.84292610001285	5.993162800004939	instructions						
261.8360889000178	59.999681499990345	control_vid					alternate	./DSP_Videos/Control/Alternate/Videos/Control_Route_1_Alternate_A_001_different.mp4
321.83577040000813	10.000187600002448	response		different	none_recorded	False		
346.8357685000229	5.984301199990966	instructions						
352.82006970001385	59.99987040000269	learning_vid					alternate	./DSP_Videos/Learning/Learning_Alternate.mp4
