onset	duration	trial_type	response_time	same_or_diff	response	correct	env_type	vid_file
0.0	5.996257700026092	instructions						
5.996257700026092	59.9884814999823	learning_vid					alternate	./DSP_Videos/Learning/Learning_Alternate.mp4
82.3947187000013	5.9897501000087345	instructions						
88.38446880001004	59.999674799997536	control_vid					alternate	./DSP_Videos/Control/Alternate/Videos/Control_Route_1_Alternate_A_000_different.mp4
148.38414360000758	10.00035580000258	response		different	none_recorded	False		
173.3846821000044	5.983789899997589	instructions						
179.368472000002	59.99985530000413	learning_vid					alternate	./DSP_Videos/Learning/Learning_Alternate.mp4
255.79009900000534	5.995799800002828	instructions						
261.78589880000817	59.99983630000486	control_vid					alternate	./DSP_Videos/Control/Alternate/Videos/Control_Route_2_Alternate_A_000_same.mp4
321.785735100013	10.000123600009829	response		same	none_recorded	False		
346.78613680001587	5.983664600003976	instructions						
352.76980140001984	60.00001560000237	learning_vid					alternate	./DSP_Videos/Learning/Learning_Alternate.mp4
