onset	duration	trial_type
0.0	11.755636800080566	objects
14.002531599951936	25.73915100004527	faces
27.998363899998395	39.73949300008829	scenes
42.00105420011096	53.70594809995967	scrambled
55.99016340007077	67.70645419997166	scrambled
84.02926430013034	95.70620080013762	faces
98.00126529997218	109.68965460010807	objects
111.99149530008438	123.7392583000474	scenes
125.99935840000401	137.6897368000355	faces
140.00134830013852	151.69043940003033	scrambled
153.99163860012774	165.6764783000108	scenes
167.99429880012755	179.72399480012248	objects
195.9986894000322	207.6738466001116	scenes
224.00071840011518	235.70623310003432	objects
237.99115100014032	249.69040359999056	scrambled
252.01000769995156	263.6907905000262	faces
