onset	duration	trial_type
0.0	11.63771279994397	scenes
13.988829599926234	25.654424899956197	scrambled
27.988615299807833	39.65442979987709	objects
42.00352699984795	53.687849199865	faces
69.98871129984032	81.65471889986655	objects
83.98891179985365	95.67205539997666	scrambled
97.98924599983728	109.65465679997577	scenes
111.98627619980833	123.6550465999171	faces
139.9908610999118	151.63848849991336	scrambled
167.97473649983294	179.68858369998634	scenes
181.98374579986557	193.62218509986997	objects
195.98955639987258	207.62206920003518	faces
209.97360619995743	221.60573740000837	scenes
223.97345019993378	235.63909940002486	objects
237.9732116998639	249.62301340000704	scrambled
265.9899714998901	277.6241235998459	faces
