ParticipantNo: 12014
Time for Trials (seconds): 60
Controller type: Gamepad
Repetition?: Full
DSPType: 2
Encoding Tours: 0
!!1_dsp2_03
!!1_dsp2_03
2.15:  138.527,209.9875,257.5173,box 6,10
2.17:  138.7795,209.9812,257.5173,box 6,10
2.18:  139.0361,209.9749,257.5173,box 6,10
2.2:  139.3036,209.9682,257.5173,box 6,10
2.22:  139.5537,209.9621,257.5173,box 6,10
2.23:  139.8014,209.9559,257.5173,box 6,10
2.25:  140.0567,209.9472,257.5173,box 6,10
2.27:  140.3117,209.9409,257.5173,box 6,10
2.28:  140.5666,209.9346,257.5173,box 6,10
2.3:  140.8217,209.9282,257.5173,box 6,10
2.32:  141.0848,209.9211,257.5173,box 6,10
2.33:  141.3342,209.9143,257.5173,box 6,10
2.35:  141.5856,209.9081,257.5173,box 6,10
2.37:  141.8388,209.9018,257.5173,box 6,10
2.38:  142.0938,209.8955,257.5173,box 6,10
2.4:  142.3493,209.8868,257.5173,box 6,10
2.42:  142.6038,209.8805,257.5173,box 6,10
2.43:  142.8555,209.8742,257.5173,box 7,10
2.45:  143.1122,209.8679,257.5173,box 7,10
2.47:  143.3643,209.861,257.5173,box 7,10
2.48:  143.6176,209.8518,257.5173,box 7,10
2.5:  143.8739,209.8454,257.5173,box 7,10
2.52:  144.1266,209.8386,257.5173,box 7,10
2.53:  144.3795,209.8293,257.5173,box 7,10
2.55:  144.6348,209.823,257.5173,box 7,10
2.57:  144.8893,209.8167,257.5173,box 7,10
2.58:  145.1443,209.8104,257.5173,box 7,10
2.6:  145.3972,209.8041,257.5173,box 7,10
2.62:  145.6543,209.7977,257.5173,box 7,10
2.63:  145.9169,209.7912,257.5173,box 7,10
2.65:  146.171,209.7843,257.5173,box 7,10
2.67:  146.4194,209.7759,257.5173,box 7,10
2.68:  146.6693,209.7697,257.5173,box 7,10
2.7:  146.9383,209.763,257.5173,box 7,10
2.72:  147.1868,209.7569,257.5173,box 7,10
2.73:  147.4359,209.7507,257.5173,box 7,10
2.75:  147.6999,209.7417,257.5173,box 7,10
2.77:  147.9512,209.7349,257.5173,box 7,10
2.78:  148.2021,209.7257,257.5173,box 7,10
2.8:  148.4538,209.7195,257.5173,box 7,10
2.82:  148.7149,209.7124,257.5173,box 7,10
2.83:  148.971,209.7036,257.5173,box 7,10
2.85:  149.2226,209.6974,257.5173,box 7,10
2.87:  149.4722,209.6912,257.5173,box 7,10
2.88:  149.7228,209.685,257.5173,box 7,10
2.9:  149.981,209.6738,257.5173,box 7,10
2.92:  150.2383,209.6626,257.5173,box 7,10
2.93:  150.4865,209.6489,257.5173,box 7,10
2.95:  150.7442,209.6221,257.5173,box 7,10
2.97:  151.0015,209.5905,257.5173,box 7,10
2.98:  151.2547,209.5595,257.5173,box 7,10
3:  151.5076,209.5277,257.5173,box 7,10
3.02:  151.7637,209.4955,257.5173,box 7,10
3.03:  152.0134,209.464,257.5173,box 7,10
3.05:  152.267,209.4321,257.5173,box 7,10
3.07:  152.5217,209.4001,257.5173,box 7,10
3.08:  152.7899,209.3672,257.5173,box 7,10
3.1:  153.0303,209.337,257.5173,box 7,10
3.12:  153.283,209.306,257.5173,box 7,10
3.13:  153.5522,209.273,257.5173,box 7,10
3.15:  153.8042,209.2421,257.5173,box 7,10
3.17:  154.0483,209.2122,257.5173,box 7,10
3.18:  154.3059,209.1806,257.5173,box 7,10
3.2:  154.5637,209.149,257.5173,box 7,10
3.22:  154.8142,209.1175,257.5173,box 7,10
3.23:  155.0702,209.0861,257.5173,box 7,10
3.25:  155.3273,209.0601,257.5173,box 7,10
3.27:  155.5842,209.0364,257.5173,box 7,10
3.28:  155.8401,209.0152,257.5173,box 7,10
3.3:  156.0948,209.0018,257.5173,box 7,10
3.32:  156.3548,208.9905,257.5173,box 7,10
3.33:  156.6068,208.9866,257.5173,box 7,10
3.35:  156.8603,208.9851,257.5173,box 7,10
3.37:  157.1198,208.9865,257.5173,box 7,10
3.38:  157.3735,208.9903,257.5173,box 7,10
3.4:  157.6291,208.9941,257.5173,box 7,10
3.42:  157.8951,208.998,257.5173,box 7,10
3.43:  158.1391,209.0016,257.5173,box 7,10
3.45:  158.3922,209.0078,257.5173,box 7,10
3.47:  158.6476,209.0116,257.5173,box 7,10
3.48:  158.9018,209.0153,257.5173,box 7,10
3.5:  159.1596,209.0216,257.5173,box 7,10
3.52:  159.4133,209.0253,257.5173,box 7,10
3.53:  159.669,209.0291,257.5173,box 7,10
3.55:  159.9207,209.0352,257.5173,box 7,10
3.57:  160.1786,209.039,257.5173,box 7,10
3.58:  160.4312,209.0428,257.5173,box 7,10
3.6:  160.6908,209.0466,257.5173,box 7,10
3.62:  160.9461,209.0504,257.5193,box 7,10
3.63:  161.197,209.0541,257.5213,box 7,10
3.65:  161.4553,209.0579,257.5213,box 7,10
3.67:  161.7073,209.064,257.5233,box 7,10
3.68:  161.9612,209.0701,257.5253,box 7,10
3.7:  162.2359,209.0742,257.5272,box 7,10
3.72:  162.4762,209.0799,257.5292,box 7,10
3.73:  162.7296,209.086,257.5312,box 8,10
3.75:  162.9841,209.0897,257.5312,box 8,10
3.77:  163.2377,209.0881,257.5332,box 8,10
3.78:  163.5118,209.0761,257.5352,box 8,10
3.8:  163.753,209.0561,257.5372,box 8,10
3.82:  164.0029,209.0329,257.5391,box 8,10
3.83:  164.2611,209.0067,257.5475,box 8,10
3.85:  164.5196,208.9804,257.5494,box 8,10
3.87:  164.778,208.9517,257.5577,box 8,10
3.88:  165.0352,208.9254,257.5661,box 8,10
3.9:  165.2932,208.899,257.5744,box 8,10
3.92:  165.5476,208.873,257.5764,box 8,10
3.93:  165.8031,208.8469,257.5784,box 8,10
3.95:  166.0623,208.8204,257.5784,box 8,10
3.97:  166.3177,208.7942,257.5784,box 8,10
3.98:  166.5739,208.768,257.5784,box 8,10
4:  166.85,208.7398,257.5784,box 8,10
4.02:  167.0901,208.7159,257.5784,box 8,10
4.03:  167.3475,208.6896,257.5784,box 8,10
4.05:  167.6016,208.6659,257.5784,box 8,10
4.07:  167.8573,208.6421,257.5784,box 8,10
4.08:  168.1147,208.6158,257.5784,box 8,10
4.1:  168.3757,208.5891,257.5784,box 8,10
4.12:  168.6301,208.563,257.5784,box 8,10
4.13:  168.8874,208.5367,257.5784,box 8,10
4.15:  169.1573,208.5091,257.5784,box 8,10
4.17:  169.4007,208.4842,257.5784,box 8,10
4.18:  169.6711,208.4565,257.5784,box 8,10
4.2:  169.9276,208.4303,257.5784,box 8,10
4.22:  170.1697,208.4077,257.5784,box 8,10
4.23:  170.4299,208.3811,257.5784,box 8,10
4.25:  170.683,208.3552,257.5784,box 8,10
4.27:  170.9406,208.3312,257.5784,box 8,10
4.28:  171.196,208.3074,257.5784,box 8,10
4.3:  171.4526,208.2835,257.5784,box 8,10
4.32:  171.7087,208.2597,257.5784,box 8,10
4.33:  171.9635,208.2359,257.5784,box 8,10
4.35:  172.2208,208.2119,257.5784,box 8,10
4.37:  172.4767,208.1858,257.5784,box 8,10
4.38:  172.732,208.1597,257.5784,box 8,10
4.4:  173.0142,208.1308,257.5784,box 8,10
4.42:  173.2499,208.1067,257.5784,box 8,10
4.43:  173.5027,208.0831,257.5784,box 8,10
4.45:  173.7554,208.0596,257.5784,box 8,10
4.47:  174.0352,208.0318,257.5784,box 8,10
4.48:  174.2722,208.0025,257.5784,box 8,10
4.5:  174.5217,207.9419,257.5784,box 8,10
4.52:  174.7576,207.8624,257.5784,box 8,10
4.53:  174.9855,207.762,257.5784,box 8,10
4.55:  175.2145,207.6415,257.5784,box 8,10
4.57:  175.4221,207.5068,257.5784,box 8,10
4.58:  175.6161,207.3604,257.5784,box 8,10
4.6:  175.7992,207.1872,257.57,box 8,10
4.62:  175.958,207.0094,257.5554,box 8,10
4.63:  176.1096,206.8141,257.471,box 8,10
4.65:  176.2425,206.6123,257.0571,box 8,10
4.67:  176.3789,206.3765,256.2692,box 8,10
4.68:  176.4723,206.1619,255.4813,box 8,10
4.7:  176.5514,205.903,254.6934,box 8,10
4.72:  176.6191,205.6685,253.9055,box 8,10
4.73:  176.6914,205.4304,253.1177,box 8,10
4.75:  176.7639,205.2028,252.3298,box 8,10
4.77:  176.8429,204.9661,251.5419,box 8,10
4.78:  176.9253,204.73,250.754,box 8,10
4.8:  177.0116,204.4932,249.9662,box 8,10
4.82:  177.0997,204.2615,249.1783,box 8,10
4.83:  177.1908,204.0318,248.3904,box 8,10
4.85:  177.2865,203.7995,247.6025,box 8,10
4.87:  177.3849,203.5696,246.8146,box 8,9
4.88:  177.4841,203.3465,246.0267,box 8,9
4.9:  177.5892,203.1187,245.2389,box 8,9
4.92:  177.6966,202.8941,244.451,box 8,9
4.93:  177.8075,202.67,243.6631,box 8,9
4.95:  177.9214,202.4477,242.8752,box 8,9
4.97:  178.0384,202.2269,242.0874,box 8,9
4.98:  178.1588,202.007,241.2995,box 8,9
5:  178.2818,201.7894,240.5116,box 8,9
5.02:  178.4097,201.5703,239.7237,box 8,9
5.03:  178.5424,201.34,238.9358,box 8,9
5.05:  178.6556,201.1212,238.148,box 8,9
5.07:  178.7683,200.9056,237.3601,box 8,9
5.08:  178.883,200.6832,236.5722,box 8,9
5.1:  178.986,200.453,235.7843,box 8,9
5.12:  179.0714,200.2151,234.9964,box 8,9
5.13:  179.1179,199.958,234.2086,box 8,9
5.15:  179.1186,199.7174,233.4207,box 8,9
5.17:  179.0958,199.4848,232.6328,box 8,9
5.18:  179.0541,199.2511,231.8449,box 8,9
5.2:  179.0043,199.012,231.057,box 8,9
5.22:  178.9508,198.7556,230.2692,box 8,9
5.23:  178.9012,198.5184,229.4813,box 8,9
5.25:  178.8519,198.2828,228.6934,box 8,9
5.27:  178.8019,198.0534,227.9055,box 8,9
5.28:  178.7496,197.8141,227.1176,box 8,9
5.3:  178.7006,197.5735,226.3298,box 8,9
5.32:  178.6557,197.3172,225.5419,box 8,9
5.33:  178.6158,197.0818,224.754,box 8,9
5.35:  178.578,196.8474,223.9661,box 8,9
5.37:  178.5448,196.6131,223.1783,box 8,9
5.38:  178.5124,196.3698,222.3904,box 8,9
5.4:  178.4835,196.1272,221.6025,box 8,9
5.42:  178.4578,195.8829,220.8146,box 8,9
5.43:  178.4359,195.6431,220.0267,box 8,9
5.45:  178.4169,195.399,219.2389,box 8,9
5.47:  178.4,195.1335,218.451,box 8,9
5.48:  178.3899,194.8907,217.6631,box 8,9
5.5:  178.3834,194.659,216.8752,box 8,9
5.52:  178.3799,194.4127,216.0874,box 8,9
5.53:  178.3778,194.1682,215.2995,box 8,9
5.55:  178.3804,193.926,214.5116,box 8,9
5.57:  178.3851,193.6803,213.7237,box 8,9
5.58:  178.3944,193.4375,212.9358,box 8,9
5.6:  178.4057,193.1931,212.1479,box 8,9
5.62:  178.4205,192.9481,211.3601,box 8,9
5.63:  178.4387,192.7019,210.5722,box 8,9
5.65:  178.4597,192.4621,209.7843,box 8,9
5.67:  178.4848,192.2155,208.9964,box 8,9
5.68:  178.5127,191.9739,208.2086,box 8,9
5.7:  178.5441,191.7323,207.4207,box 8,9
5.72:  178.5794,191.4863,206.6328,box 8,9
5.73:  178.617,191.2474,205.8449,box 8,9
5.75:  178.6589,191.0038,205.0571,box 8,9
5.77:  178.7034,190.7644,204.2692,box 8,9
5.78:  178.7508,190.5203,203.4813,box 8,9
5.8:  178.7981,190.2734,202.6934,box 8,9
5.82:  178.8492,190.0254,201.9055,box 8,9
5.83:  178.9091,189.7534,201.1177,box 8,9
5.85:  178.962,189.5331,200.3298,box 8,9
5.87:  179.0286,189.2659,199.5419,box 8,9
5.88:  179.0842,189.0479,198.754,box 8,9
5.9:  179.1513,188.8048,197.9661,box 8,9
5.92:  179.2199,188.5637,197.1783,box 8,9
5.93:  179.2938,188.3218,196.3904,box 8,9
5.95:  179.3716,188.0858,195.6025,box 8,9
5.97:  179.4591,187.8252,194.8146,box 8,9
5.98:  179.538,187.5967,194.0267,box 8,9
6:  179.6204,187.374,193.2389,box 8,9
6.02:  179.7085,187.1397,192.451,box 8,9
