onset	duration	trial_type	response_time	same_or_diff	response	correct	env_type	vid_file
0.0	5.984538899996551	instructions						
5.984538899996551	59.99976649999746	learning_vid					alternate	./DSP_Videos/Learning/Learning_Alternate.mp4
82.38381649999064	5.998120700009167	instructions						
88.38193719999981	59.98954159999266	control_vid					alternate	./DSP_Videos/Control/Alternate/Videos/Control_Route_1_Alternate_A_000_different.mp4
148.37147879999247	10.000312999996822	response		different	none_recorded	False		
173.38426700001583	5.982548799976826	instructions						
179.36681579999265	60.0004588000013	learning_vid					alternate	./DSP_Videos/Learning/Learning_Alternate.mp4
255.7341871999961	5.9823766000045	instructions						
261.7165638000006	60.00350759999128	control_vid					alternate	./DSP_Videos/Control/Alternate/Videos/Control_Route_2_Alternate_A_000_same.mp4
321.72007139999187	9.999021600000674	response		same	none_recorded	False		
346.7400231999925	5.978031600011036	instructions						
352.71805480000353	60.0011748000104	learning_vid					alternate	./DSP_Videos/Learning/Learning_Alternate.mp4
