onset	duration	trial_type	response_time	same_or_diff	response	correct	env_type	vid_file
0.0	5.986309599975357	instructions						
5.986309599975357	59.996833100012736	learning_vid					alternate	./DSP_Videos/Learning/Learning_Alternate.mp4
82.41181789999243	5.986726500006654	instructions						
88.39854439999908	59.989466099999845	control_vid					alternate	./DSP_Videos/Control/Alternate/Videos/Control_Route_3_Alternate_B_001_same.mp4
148.38801049999893	10.011027899978245	response	1.277252100000652	same	same	True		
173.40059209999163	5.982420899992604	instructions						
179.38301299998423	60.00166880001777	learning_vid					alternate	./DSP_Videos/Learning/Learning_Alternate.mp4
255.80582649999997	5.9774543999810135	instructions						
261.783280899981	60.00383570001583	control_vid					alternate	./DSP_Videos/Control/Alternate/Videos/Control_Route_1_Alternate_A_001_different.mp4
321.7871165999968	10.013475899992045	response	1.4817479999911143	different	different	True		
346.78991589997884	5.9778266000213875	instructions						
352.7677425000002	60.001340399990966	learning_vid					alternate	./DSP_Videos/Learning/Learning_Alternate.mp4
