onset	duration	trial_type	response_time	same_or_diff	response	correct	env_type	vid_file
0.0	5.997297900001286	instructions						
5.997297900001286	59.985830499994336	learning_vid					alternate	./DSP_Videos/Learning/Learning_Alternate.mp4
82.37587990000611	5.988079799979431	instructions						
88.36395969998554	59.98984449999995	control_vid					alternate	./DSP_Videos/Control/Alternate/Videos/Control_Route_1_Alternate_B_000_different.mp4
148.3538041999855	10.010803600016487	response		different	none_recorded	False		
173.37057410000122	5.978264999983395	instructions						
179.34883909998462	60.00071140000364	learning_vid					alternate	./DSP_Videos/Learning/Learning_Alternate.mp4
255.73745179999975	6.0035224999882075	instructions						
261.74097429998795	59.99665800001827	control_vid					alternate	./DSP_Videos/Control/Alternate/Videos/Control_Route_2_Alternate_B_001_different.mp4
321.7376323000062	10.000145099998917	response		different	none_recorded	False		
346.75506249998574	5.994277399993791	instructions						
352.74933989997953	59.971041500015474	learning_vid					alternate	./DSP_Videos/Learning/Learning_Alternate.mp4
