block_type,condition,img_name,Button.thisRepN,Button.thisTrialN,Button.thisN,Button.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Ready_experimenter_text.started,Ready_experimenter_text.stopped,Ready_experimenter_resp.keys,Ready_experimenter_resp.rt,Ready_experimenter_resp.started,Ready_experimenter_resp.stopped,Alignment_background.started,Alignment_background.stopped,Alignment_image.started,Alignment_image.stopped,Alignment_resp.keys,Alignment_resp.rt,Alignment_resp.started,Alignment_resp.stopped,Button_text.started,Button_text.stopped,Index_text.started,Index_text.stopped,Index_resp.keys,Index_resp.rt,Index_resp.started,Index_resp.stopped,Middle_text.started,Middle_text.stopped,Middle_resp.keys,Middle_resp.rt,Middle_resp.started,Middle_resp.stopped,Repeat_text.started,Repeat_text.stopped,Repeat_resp.keys,Repeat_resp.corr,Repeat_resp.rt,Repeat_resp.started,Repeat_resp.stopped,instruction_text.started,instruction_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,scanner_t.keys,scanner_t.rt,scanner_t.started,scanner_t.stopped,fixation_wait_for_t.started,fixation_wait_for_t.stopped,real_timestamp_trial_start,image.started,image.stopped,fixation.started,fixation.stopped,repeat_response.keys,repeat_response.started,repeat_response.stopped,fixation_null.started,fixation_null.stopped,end_text.started,end_text.stopped,participant,run,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,11.247721999883652,None,return,469.775737100048,11.247721999883652,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22011,0002,2022_Aug_12_1242,localizer,2021.1.3,60.03640613023816,
,,,,,,,,,,,,,,,,,481.0707493999507,None,481.0707493999507,None,return,1.2532276001293212,481.0707493999507,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22011,0002,2022_Aug_12_1242,localizer,2021.1.3,60.03640613023816,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,482.34920579986647,None,483.3494817998726,None,y,13.500579499872401,483.3494817998726,None,496.8820411998313,None,b,2.186774799833074,496.8820411998313,None,499.102074699942,None,n,0,2.4125424998346716,499.102074699942,None,,,,,,,,,,,,,,,,,,,,,,,,,22011,0002,2022_Aug_12_1242,localizer,2021.1.3,60.03640613023816,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501.53129219985567,None,y,46.104507100069895,501.53129219985567,None,,,,,,,,,,,,,,,,,,,22011,0002,2022_Aug_12_1242,localizer,2021.1.3,60.03640613023816,
block_start,objects,objects033.bmp,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,17.16698900004849,547.6908459998667,None,547.6908459998667,None,2022-08-12-12:51:19.571431,564.8821390999947,565.1810897998512,564.8821390999947,None,None,564.8821390999947,None,565.6816283699125,None,,,22011,0002,2022_Aug_12_1242,localizer,2021.1.3,60.03640613023816,
block,objects,objects083.bmp,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,565.6816283699125,None,565.6816283699125,None,2022-08-12-12:51:20.375993,565.6953402999789,565.9979786998592,565.6953402999789,565.6953402999789,None,565.6953402999789,565.6953402999789,566.4983629697933,None,,,22011,0002,2022_Aug_12_1242,localizer,2021.1.3,60.03640613023816,
block,objects,objects077.bmp,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,566.4983629697933,None,566.4983629697933,None,2022-08-12-12:51:21.190730,566.4989608000033,566.7980231998954,566.4989608000033,None,None,566.4989608000033,None,567.298246269999,None,,,22011,0002,2022_Aug_12_1242,localizer,2021.1.3,60.03640613023816,
block,objects,objects082.bmp,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,567.298246269999,None,567.298246269999,None,2022-08-12-12:51:21.991614,567.2989769999404,567.5979878997896,567.2989769999404,567.2989769999404,None,567.2989769999404,567.2989769999404,568.0990018699783,None,,,22011,0002,2022_Aug_12_1242,localizer,2021.1.3,60.03640613023816,
block,objects,objects076.bmp,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,568.0990018699783,None,568.0990018699783,None,2022-08-12-12:51:22.794531,568.101914400002,568.4149134999607,568.101914400002,568.101914400002,None,568.101914400002,568.101914400002,568.9149254699703,None,,,22011,0002,2022_Aug_12_1242,localizer,2021.1.3,60.03640613023816,
block,objects,objects040.bmp,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,568.9149254699703,None,568.9149254699703,None,2022-08-12-12:51:23.607296,568.9232677998953,569.2311031999998,568.9232677998953,None,None,568.9232677998953,None,569.7315476699266,None,,,22011,0002,2022_Aug_12_1242,localizer,2021.1.3,60.03640613023816,
