block_type,condition,img_name,Button.thisRepN,Button.thisTrialN,Button.thisN,Button.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Alignment_background.started,Alignment_background.stopped,Alignment_image.started,Alignment_image.stopped,Alignment_resp.keys,Alignment_resp.rt,Alignment_resp.started,Alignment_resp.stopped,Button_text.started,Button_text.stopped,Index_text.started,Index_text.stopped,Index_resp.keys,Index_resp.rt,Index_resp.started,Index_resp.stopped,Middle_text.started,Middle_text.stopped,Middle_resp.keys,Middle_resp.rt,Middle_resp.started,Middle_resp.stopped,Repeat_text.started,Repeat_text.stopped,Repeat_resp.keys,Repeat_resp.corr,Repeat_resp.rt,Repeat_resp.started,Repeat_resp.stopped,instruction_text.started,instruction_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,scanner_t.keys,scanner_t.rt,scanner_t.started,scanner_t.stopped,fixation_wait_for_t.started,fixation_wait_for_t.stopped,real_timestamp_trial_start,image.started,image.stopped,fixation.started,fixation.stopped,repeat_response.keys,repeat_response.started,repeat_response.stopped,fixation_null.started,fixation_null.stopped,repeat_response.rt,end_text.started,end_text.stopped,participant,run,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,9.615914200083353,None,9.615914200083353,None,return,11.918410200043581,9.615914200083353,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12003,0001,2021_Jul_29_1239,localizer,2021.1.3,60.90152528038905,
,,,0,0,0,0,,,,,,,,,,,,,21.562841200036928,None,22.57695200003218,None,y,9.010414900025353,22.57695200003218,None,31.611111500067636,None,b,1.0655643999343738,31.611111500067636,None,32.69752030004747,None,n,0,8.589476000051945,32.69752030004747,None,,,,,,,,,,,,,,,,,,,,,,,,,,12003,0001,2021_Jul_29_1239,localizer,2021.1.3,60.90152528038905,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.31110470008571,None,y,308.68340939993504,41.31110470008571,None,,,,,,,,,,,,,,,,,,,,12003,0001,2021_Jul_29_1239,localizer,2021.1.3,60.90152528038905,
null_block,null_block,null_block.bmp,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,49.65521980007179,350.0432383000152,None,350.0432383000152,None,2021-07-29-12:46:31.223825,399.7294429800124,None,399.7294429800124,None,None,399.7294429800124,None,399.7331099000294,None,,,,12003,0001,2021_Jul_29_1239,localizer,2021.1.3,60.90152528038905,
block_start,objects,objects082.bmp,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,1.9519801000133157,411.7465000000084,None,411.7465000000084,None,2021-07-29-12:46:45.227448,413.73061269999016,414.03162250004243,413.73061269999016,None,None,413.73061269999016,None,414.52971698004984,None,,,,12003,0001,2021_Jul_29_1239,localizer,2021.1.3,60.90152528038905,
block,objects,objects029.bmp,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,414.52971698004984,None,414.52971698004984,None,2021-07-29-12:46:46.029050,414.53153600008227,414.84635660005733,414.53153600008227,414.53153600008227,None,414.53153600008227,414.53153600008227,415.33094448001356,None,,,,12003,0001,2021_Jul_29_1239,localizer,2021.1.3,60.90152528038905,
block,objects,objects071.bmp,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,415.33094448001356,None,415.33094448001356,None,2021-07-29-12:46:46.832202,415.33511960005853,415.6470032000216,415.33511960005853,415.33511960005853,None,415.33511960005853,415.33511960005853,416.1464530799887,None,,,,12003,0001,2021_Jul_29_1239,localizer,2021.1.3,60.90152528038905,
block,objects,objects045.bmp,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,416.1464530799887,None,416.1464530799887,None,2021-07-29-12:46:47.643911,416.1472319000168,416.46298409998417,416.1472319000168,None,None,416.1472319000168,None,416.94648138001793,None,,,,12003,0001,2021_Jul_29_1239,localizer,2021.1.3,60.90152528038905,
block,objects,objects037.bmp,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,416.94648138001793,None,416.94648138001793,None,2021-07-29-12:46:48.445750,416.94799930008594,417.24686539999675,416.94799930008594,416.94799930008594,None,416.94799930008594,416.94799930008594,417.7629195800866,None,,,,12003,0001,2021_Jul_29_1239,localizer,2021.1.3,60.90152528038905,
block,objects,objects020.bmp,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,417.7629195800866,None,417.7629195800866,None,2021-07-29-12:46:49.259063,417.7640284000663,418.07934729999397,417.7640284000663,None,None,417.7640284000663,None,418.58325828005326,None,,,,12003,0001,2021_Jul_29_1239,localizer,2021.1.3,60.90152528038905,
