block_type,condition,img_name,Button.thisRepN,Button.thisTrialN,Button.thisN,Button.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Alignment_background.started,Alignment_background.stopped,Alignment_image.started,Alignment_image.stopped,Alignment_resp.keys,Alignment_resp.rt,Alignment_resp.started,Alignment_resp.stopped,Button_text.started,Button_text.stopped,Index_text.started,Index_text.stopped,Index_resp.keys,Index_resp.rt,Index_resp.started,Index_resp.stopped,Middle_text.started,Middle_text.stopped,Middle_resp.keys,Middle_resp.rt,Middle_resp.started,Middle_resp.stopped,Repeat_text.started,Repeat_text.stopped,Repeat_resp.keys,Repeat_resp.corr,Repeat_resp.rt,Repeat_resp.started,Repeat_resp.stopped,instruction_text.started,instruction_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,scanner_t.keys,scanner_t.rt,scanner_t.started,scanner_t.stopped,fixation_wait_for_t.started,fixation_wait_for_t.stopped,real_timestamp_trial_start,image.started,image.stopped,fixation.started,fixation.stopped,repeat_response.keys,repeat_response.started,repeat_response.stopped,fixation_null.started,fixation_null.stopped,repeat_response.rt,end_text.started,end_text.stopped,participant,run,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,24.060040900018066,None,24.060040900018066,None,return,1.4670800999738276,24.060040900018066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12002,0002,2021_Jul_28_1547,localizer,2021.1.3,60.06373965038297,
,,,0,0,0,0,,,,,,,,,,,,,25.554754800046794,None,26.55435510003008,None,y,0.7938883999595419,26.55435510003008,None,27.37066750007216,None,b,0.39253790001384914,27.37066750007216,None,27.785521800047718,None,n,0,6.702674800064415,27.785521800047718,None,,,,,,,,,,,,,,,,,,,,,,,,,,12002,0002,2021_Jul_28_1547,localizer,2021.1.3,60.06373965038297,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.50358939997386,None,y,1.5586629000026733,34.50358939997386,None,,,,,,,,,,,,,,,,,,,,12002,0002,2021_Jul_28_1547,localizer,2021.1.3,60.06373965038297,
block_start,objects,objects032.bmp,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,56.66411030001473,36.127394500072114,None,36.127394500072114,None,2021-07-28-15:49:03.251901,92.83276889997069,93.13618670008145,92.83276889997069,None,None,92.83276889997069,None,93.63649034007685,None,,,,12002,0002,2021_Jul_28_1547,localizer,2021.1.3,60.06373965038297,
block,objects,objects021.bmp,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,93.63649034007685,None,93.63649034007685,None,2021-07-28-15:49:04.068963,93.64638180006295,93.95581449999008,93.64638180006295,None,None,93.64638180006295,None,94.45463503998471,None,,,,12002,0002,2021_Jul_28_1547,localizer,2021.1.3,60.06373965038297,
block,objects,objects028.bmp,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,94.45463503998471,None,94.45463503998471,None,2021-07-28-15:49:04.886085,94.46286700002383,94.76999459997751,94.46286700002383,None,None,94.46286700002383,None,95.26897464002249,None,,,,12002,0002,2021_Jul_28_1547,localizer,2021.1.3,60.06373965038297,
block,objects,objects070.bmp,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,95.26897464002249,None,95.26897464002249,None,2021-07-28-15:49:05.699303,95.27467469999101,95.58923010004219,95.27467469999101,None,None,95.27467469999101,None,96.09058874003821,None,,,,12002,0002,2021_Jul_28_1547,localizer,2021.1.3,60.06373965038297,
block,objects,objects033.bmp,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,96.09058874003821,None,96.09058874003821,None,2021-07-28-15:49:06.518090,96.09416420001071,96.40248869999778,96.09416420001071,None,None,96.09416420001071,None,96.9066227400559,None,,,,12002,0002,2021_Jul_28_1547,localizer,2021.1.3,60.06373965038297,
block,objects,objects045.bmp,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,96.9066227400559,None,96.9066227400559,None,2021-07-28-15:49:07.339297,96.91560309997294,97.21839010005351,96.91560309997294,None,None,96.91560309997294,None,97.72171303998911,None,,,,12002,0002,2021_Jul_28_1547,localizer,2021.1.3,60.06373965038297,
block,objects,objects008.bmp,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,97.72171303998911,None,97.72171303998911,None,2021-07-28-15:49:08.153782,97.73179390002042,98.03792550007347,97.73179390002042,None,None,97.73179390002042,None,98.53756794004002,None,,,,12002,0002,2021_Jul_28_1547,localizer,2021.1.3,60.06373965038297,
block,objects,objects043.bmp,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,98.53756794004002,None,98.53756794004002,None,2021-07-28-15:49:08.968897,98.5447734000627,98.85296260006726,98.5447734000627,None,None,98.5447734000627,None,99.35328104005893,None,,,,12002,0002,2021_Jul_28_1547,localizer,2021.1.3,60.06373965038297,
