Button.thisRepN,Button.thisTrialN,Button.thisN,Button.thisIndex,Alignment_background.started,Alignment_background.stopped,Alignment_image.started,Alignment_image.stopped,Alignment_resp.keys,Alignment_resp.rt,Alignment_resp.started,Alignment_resp.stopped,Button_text.started,Button_text.stopped,Index_text.started,Index_text.stopped,Index_resp.keys,Index_resp.rt,Index_resp.started,Index_resp.stopped,Middle_text.started,Middle_text.stopped,Middle_resp.keys,Middle_resp.rt,Middle_resp.started,Middle_resp.stopped,Repeat_text.started,Repeat_text.stopped,Repeat_resp.keys,Repeat_resp.corr,Repeat_resp.rt,Repeat_resp.started,Repeat_resp.stopped,participant,run,date,expName,psychopyVersion,frameRate,
,,,,8.613379099988379,None,8.613379099988379,None,return,2.234847899992019,8.613379099988379,None,,,,,,,,,,,,,,,,,,,,,,1,0001,2021_Jul_12_0932,localizer,2021.1.3,60.01259063957815,
0,0,0,0,,,,,,,,,10.873673300025985,None,11.874072799982969,None,y,1.0474031000048853,11.874072799982969,None,12.940707099973224,None,b,0.3662756000412628,12.940707099973224,None,13.324036700010765,None,n,0,0.9730579000315629,13.324036700010765,None,1,0001,2021_Jul_12_0932,localizer,2021.1.3,60.01259063957815,
