onset	duration	trial_type
0.0	11.740432600025091	objects
29.47415550006553	41.19059649994597	scenes
52.81229159981011	64.49072289979085	scrambled
82.40315609984098	94.12383399996907	faces
116.04409779980779	127.75771349994466	objects
135.5211724000983	147.17420489992946	scrambled
156.16178190009668	167.84090860001743	scenes
192.5460009998642	204.24162290012464	faces
221.4134411001578	233.10843160003424	objects
248.8922325000167	260.5754387001507	scrambled
275.0126832998357	286.72556840023026	scenes
309.12633119989187	320.842435200233	faces
330.2335910000839	341.95928389998153	objects
353.9308286001905	365.609510499984	scenes
397.36979290004825	409.0764521001838	scrambled
419.39605410024524	431.0266224001534	faces
