onset	duration	trial_type
0.0	11.730095099992468	scrambled
31.096550000002026	42.84709830000065	faces
47.23723329999484	58.99703569999838	scenes
62.7775212999986	74.53040769998915	objects
97.06595509999894	108.83075819999794	scenes
137.780726699988	149.51429819999612	scrambled
159.22494919999735	170.9806821999955	objects
174.7012112999946	186.4644671999995	faces
190.54305359999125	202.2810807999922	faces
220.11480289998872	231.83140650000132	scenes
235.53953329999058	247.28150759999698	scrambled
251.3183762999979	263.04826379999577	objects
266.95748689999164	278.69821189998765	objects
283.0925772999907	294.8151089999883	scenes
298.86707899998873	310.61521540000103	scrambled
328.8712555999955	340.5986819999962	faces
