ParticipantNo: 12005
Time for Trials (seconds): 60
Controller type: Gamepad
Repetition?: Full
DSPType: 1
Encoding Tours: 0
!!1_dsp1_19
!!1_dsp1_19
2.1:  81.3348,161.5443,112.9106,box 2,7
2.12:  81.299,161.7262,112.1227,box 2,7
2.13:  81.27355,161.935,111.3349,box 2,7
2.15:  81.26678,162.1626,110.547,box 2,7
2.17:  81.27619,162.3956,109.7591,box 2,7
2.18:  81.27723,162.6508,108.9712,box 2,7
2.2:  81.27827,162.8649,108.1833,box 2,7
2.22:  81.27932,163.124,107.3955,box 2,7
2.23:  81.28036,163.3596,106.6076,box 2,7
2.25:  81.28143,163.585,105.8197,box 2,7
2.27:  81.28249,163.8384,105.0318,box 2,7
2.28:  81.28355,164.0827,104.244,box 2,7
2.3:  81.28462,164.3018,103.4561,box 2,7
2.32:  81.2857,164.5671,102.6682,box 2,7
2.33:  81.28677,164.7915,101.8803,box 2,7
2.35:  81.28784,165.0382,101.0924,box 2,7
2.37:  81.28892,165.3037,100.3046,box 2,7
2.38:  81.29001,165.553,99.51669,box 2,7
2.4:  81.29109,165.7766,98.72881,box 2,7
2.42:  81.29218,166.0249,97.94093,box 2,7
2.43:  81.29327,166.2882,97.15305,box 2,7
2.45:  81.29436,166.5214,96.36517,box 2,7
2.47:  81.29546,166.7698,95.57729,box 2,7
2.48:  81.29655,167.0182,94.78941,box 2,7
2.5:  81.29765,167.2908,94.00153,box 2,7
2.52:  81.29874,167.5185,93.21365,box 2,7
2.53:  81.29985,167.7635,92.42577,box 2,7
2.55:  81.30095,168.0149,91.63789,box 2,7
2.57:  81.30205,168.2846,90.85001,box 2,7
2.58:  81.30231,168.5182,90.06214,box 2,7
2.6:  81.29919,168.764,89.27426,box 2,7
2.62:  81.29259,169.0138,88.48638,box 2,7
2.63:  81.28161,169.287,87.6985,box 2,7
2.65:  81.26814,169.5367,86.91063,box 2,7
2.67:  81.25261,169.7657,86.12275,box 2,7
2.68:  81.23068,170.0344,85.33487,box 2,7
2.7:  81.20874,170.2643,84.54698,box 2,7
2.72:  81.18164,170.5121,83.7591,box 2,7
2.73:  81.15108,170.76,82.97123,box 2,7
2.75:  81.11684,171.0094,82.18335,box 2,7
2.77:  81.0798,171.2542,81.39548,box 2,7
2.78:  81.03893,171.5013,80.60759,box 2,7
2.8:  80.99102,171.7681,79.81972,box 2,7
2.82:  80.94736,171.9933,79.03183,box 2,7
2.83:  80.89626,172.2388,78.24396,box 2,7
2.85:  80.84205,172.4825,77.45608,box 2,7
2.87:  80.77992,172.7447,76.6682,box 2,7
2.88:  80.72399,172.967,75.88032,box 2,7
2.9:  80.65971,173.2085,75.09244,box 2,7
2.92:  80.59262,173.4473,74.30457,box 2,7
2.93:  80.522,173.6859,73.51668,box 2,7
2.95:  80.44805,173.9238,72.72881,box 2,7
2.97:  80.36684,174.1728,71.94093,box 2,7
2.98:  80.28604,174.4095,71.15305,box 2,7
3:  80.20502,174.6366,70.36517,box 2,7
3.02:  80.11826,174.8696,69.5773,box 2,7
3.03:  80.02801,175.1022,68.78942,box 2,7
3.05:  79.93344,175.3298,68.00155,box 2,7
3.07:  79.83072,175.5615,67.21367,box 2,7
3.08:  79.72678,175.7875,66.42579,box 2,7
3.1:  79.6179,176.0103,65.63792,box 2,7
3.12:  79.50191,176.2341,64.85004,box 2,7
3.13:  79.37043,176.4631,64.06216,box 2,7
3.15:  79.24361,176.6679,63.27428,box 2,7
3.17:  79.11036,176.8766,62.48641,box 2,7
3.18:  78.96955,177.0862,61.69853,box 2,7
3.2:  78.82117,177.3005,60.91066,box 2,7
3.22:  78.67894,177.5001,60.12278,box 2,7
3.23:  78.5347,177.7004,59.3349,box 2,7
3.25:  78.38463,177.8988,58.54702,box 2,7
3.27:  78.23492,178.0903,57.75914,box 2,7
3.28:  78.08776,178.2722,56.97126,box 2,7
3.3:  77.93863,178.4507,56.18338,box 2,7
3.32:  77.78297,178.6313,55.3955,box 2,7
3.33:  77.6362,178.7967,54.60762,box 2,7
3.35:  77.48439,178.963,53.81974,box 2,7
3.37:  77.33125,179.1259,53.03186,box 2,7
3.38:  77.17434,179.2843,52.24398,box 2,7
3.4:  77.02275,179.4354,51.4561,box 2,7
3.42:  76.88194,179.5714,50.66823,box 2,7
3.43:  76.76353,179.7006,49.88034,box 2,7
3.45:  76.65721,179.8233,49.09247,box 2,7
3.47:  76.55894,179.9336,48.31093,box 2,7
3.48:  76.46129,180.0407,47.63713,box 2,7
3.5:  76.37395,180.1348,47.13446,box 2,7
3.52:  76.30183,180.2116,46.79023,box 2,7
3.53:  76.23729,180.2801,46.72487,box 2,7
3.55:  76.19156,180.3287,46.72487,box 2,7
3.57:  76.15331,180.3693,46.73953,box 1,7
3.58:  76.13152,180.3925,46.81123,box 1,7
3.6:  76.12489,180.3996,46.93997,box 1,7
3.62:  76.12489,180.3996,47.12574,box 1,7
3.63:  76.12489,180.3996,47.3242,box 1,7
3.65:  76.12489,180.3996,47.56068,box 1,7
3.67:  76.12489,180.3996,47.80351,box 1,7
3.68:  76.12489,180.3996,48.05266,box 1,7
3.7:  76.12489,180.3996,48.30182,box 1,7
3.72:  76.12489,180.3996,48.55098,box 1,7
3.73:  76.12489,180.3996,48.80014,box 1,7
3.75:  76.12489,180.3996,49.0493,box 1,7
3.77:  76.12489,180.3996,49.29846,box 1,7
3.78:  76.12489,180.3996,49.56663,box 1,7
3.8:  76.12489,180.3996,49.89185,box 1,7
3.82:  76.12489,180.3996,50.25508,box 1,7
3.83:  76.12489,180.3996,50.68804,box 1,7
3.85:  76.12489,180.3996,51.18438,box 1,7
3.87:  76.12489,180.3996,51.7124,box 1,7
3.88:  76.12489,180.3996,52.2531,box 1,7
3.9:  76.12489,180.3996,52.80014,box 1,7
3.92:  76.12489,180.3996,53.34718,box 1,7
3.93:  76.12489,180.3996,53.89421,box 1,7
3.95:  76.12489,180.3996,54.44125,box 1,7
3.97:  76.12489,180.3996,54.94393,box 1,7
3.98:  76.10536,180.4279,55.40224,box 1,7
4:  76.06844,180.4823,55.79716,box 1,7
4.02:  76.00949,180.57,56.1097,box 1,7
4.03:  75.94041,180.7047,56.28914,box 1,7
4.05:  75.86144,180.8629,56.36084,box 1,7
4.07:  75.76616,181.0561,56.3755,box 1,7
4.08:  75.67137,181.2809,56.3755,box 1,7
4.1:  75.57138,181.5057,56.3755,box 1,7
4.12:  75.46044,181.7303,56.3755,box 1,7
4.13:  75.34525,181.953,56.36718,box 1,7
4.15:  75.23012,182.1802,56.35886,box 1,7
4.17:  75.11864,182.395,56.35054,box 1,7
4.18:  75.00493,182.6139,56.33588,box 1,7
4.2:  74.88761,182.8403,56.32757,box 1,7
4.22:  74.77834,183.0509,56.30658,box 1,7
4.23:  74.66463,183.27,56.29192,box 1,7
4.25:  74.55208,183.4867,56.27726,box 1,7
4.27:  74.43526,183.711,56.26895,box 1,7
4.28:  74.31583,183.9401,56.25428,box 1,7
4.3:  74.20454,184.1536,56.24597,box 1,7
4.32:  74.08931,184.3744,56.23132,box 1,7
4.33:  73.97413,184.595,56.21666,box 1,7
4.35:  73.85922,184.815,56.20834,box 1,7
4.37:  73.75307,185.039,56.19368,box 1,7
4.38:  73.65936,185.2714,56.17902,box 1,7
4.4:  73.57913,185.5122,56.17071,box 1,7
4.42:  73.52246,185.7498,56.16239,box 1,7
4.43:  73.49306,185.9974,56.15407,box 1,7
4.45:  73.4856,186.2436,56.13942,box 1,7
4.47:  73.50027,186.4695,56.11208,box 1,7
4.48:  73.53447,186.672,56.05305,box 1,7
4.5:  73.58968,186.8452,55.96234,box 1,7
4.52:  73.6511,186.9944,55.83994,box 1,7
4.53:  73.73151,187.1207,55.68585,box 1,7
4.55:  73.82182,187.23,55.49374,box 1,7
4.57:  73.92772,187.3274,55.2636,box 1,7
4.58:  74.04412,187.4241,55.02711,box 1,7
4.6:  74.17262,187.5178,54.75893,box 1,7
4.62:  74.32572,187.6271,54.47809,box 1,7
4.63:  74.50575,187.757,54.19091,box 1,7
4.65:  74.7082,187.9046,53.89738,box 1,7
4.67:  74.90926,188.0528,53.60386,box 1,7
4.68:  75.11575,188.2067,53.31666,box 1,7
4.7:  75.31027,188.3531,53.02948,box 1,7
4.72:  75.509,188.5043,52.7423,box 1,7
4.73:  75.7115,188.6599,52.45511,box 1,7
4.75:  75.91094,188.8148,52.16158,box 1,7
4.77:  76.10167,188.9645,51.8744,box 1,7
4.78:  76.30445,189.1253,51.58088,box 1,7
