onset	duration	trial_type
0.0	11.614854000508785	objects
14.000366399995983	25.66446390002966	faces
27.999451800249517	39.66434770077467	scrambled
41.99894730001688	53.66453970037401	scenes
56.01076550036666	67.73122600000352	scenes
84.0047690002248	95.7145341001451	faces
98.01870580017567	109.74809930007905	objects
112.00274910032749	123.73223219998181	scrambled
126.03431480005383	137.7483013002202	scenes
140.00005100015545	151.69859130028635	faces
168.00856120046228	179.71494800038636	objects
182.00386780034745	193.68215900007635	scrambled
196.00201710034162	207.6654673004523	objects
210.0062212003395	221.69878610037267	scenes
224.00163380056614	235.69898820016533	scrambled
252.0068419007585	263.6826092004776	faces
