2021-10-29	13:36:21	0.611	1/arcmin	Acuity_LandoltC	69	cm	24	nTrials	0	visFeedback	0	audFeedback
1	0.053	315	315	1	1829
2	0.174	270	270	1	1390
3	0.32	225	225	1	1672
4	0.469	0	0	1	1734
5	0.611	180	180	1	2439
6	0.611	180	180	1	3333
7	0.611	180	135	0	1814
8	0.611	135	180	0	5015
9	0.574	225	225	1	1453
10	0.611	0	0	1	2173
11	0.611	135	90	0	3673
12	0.233	180	180	1	1515
13	0.611	270	225	0	3783
14	0.571	135	135	1	2188
15	0.611	90	90	1	2017
16	0.611	45	45	1	1617
17	0.611	270	270	1	3290
18	0.233	45	45	1	1437
19	0.611	270	315	0	2788
20	0.611	180	135	0	2062
21	0.611	270	225	0	4658
22	0.596	45	45	1	1625
23	0.611	0	0	1	1846
24	0.233	45	45	1	1390

2021-10-29	13:38:05	1.562	%contrastWeber	Contrast_LandoltC	69	cm	24	nTrials	0	visFeedback	0	audFeedback
1	18.182	180	180	1	1719
2	9.524	180	180	1	1781
3	4.878	135	135	1	1703
4	0.893	135	135	1	2813
5	0.426	45	45	1	1641
6	0.258	0	270	0	2566
7	0.402	315	0	0	1281
8	0.577	180	0	0	1202
9	0.803	135	0	0	1062
10	1.108	45	180	0	1190
11	1.536	180	180	1	2485
12	4.783	225	225	1	1375
13	1.163	315	225	0	3221
14	1.448	135	270	0	2312
15	1.791	270	135	0	2625
16	2.199	270	270	1	2158
17	1.897	225	225	1	2219
18	6.488	180	180	1	1015
19	1.618	180	135	0	3751
20	1.861	225	225	1	2453
21	1.679	45	225	0	3723
22	1.894	0	0	1	2533
23	1.733	225	225	1	3954
24	6.208	180	180	1	1084
