2022-04-06	13:36:26	0.611	1/arcmin	Acuity_LandoltC	69	cm	24	nTrials	0	visFeedback	0	audFeedback
1	0.053	180	180	1	2078
2	0.174	0	0	1	1534
3	0.32	225	225	1	2468
4	0.469	90	90	1	3753
5	0.611	45	45	1	2056
6	0.611	0	315	0	2164
7	0.59	270	225	0	1400
8	0.487	135	135	1	4421
9	0.556	0	0	1	5720
10	0.611	315	135	0	3720
11	0.547	180	225	0	2968
12	0.186	180	180	1	1471
13	0.498	45	45	1	1594
14	0.54	135	135	1	2406
15	0.583	0	225	0	3767
16	0.534	0	0	1	3220
17	0.57	135	135	1	1390
18	0.231	135	135	1	1327
19	0.611	0	225	0	2908
20	0.572	180	135	0	1453
21	0.536	315	315	1	3923
22	0.563	90	90	1	2986
23	0.59	225	225	1	1515
24	0.233	315	315	1	1437

2022-04-06	13:37:54	1.493	%contrastWeber	Contrast_LandoltC	69	cm	24	nTrials	0	visFeedback	0	audFeedback
1	18.182	45	45	1	1959
2	9.524	45	45	1	1250
3	4.878	0	0	1	1718
4	0.893	225	45	0	4219
5	1.942	45	45	1	2268
6	1.252	315	315	1	3298
7	0.882	0	0	1	6830
8	0.653	270	0	0	6906
9	0.884	0	225	0	3171
10	1.136	225	0	0	2252
11	1.423	45	45	1	2234
12	4.744	270	270	1	1578
13	1.166	90	90	1	2064
14	1.02	180	90	0	2308
15	1.188	270	45	0	5255
16	1.371	45	45	1	1859
17	1.235	45	45	1	1862
18	4.393	90	90	1	1406
19	1.094	0	135	0	7362
20	1.222	225	90	0	4374
21	1.356	225	45	0	4048
22	1.497	180	180	1	4283
23	1.39	315	90	0	2002
24	5.923	45	45	1	797
