trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Ready_experimenter_text.started,Ready_experimenter_text.stopped,Ready_experimenter_resp.keys,Ready_experimenter_resp.rt,Ready_experimenter_resp.started,Ready_experimenter_resp.stopped,main_task_start,real_timestamp_main_task_start,trial_1_start,real_timestamp_trial_1_start,trial_1_end,real_timestamp_trial_1_end,trial_1_duration,Learning_1_instruction.started,Learning_1_instruction.stopped,Learning_1_3.started,Learning_1_3.stopped,Learning_1_2.started,Learning_1_2.stopped,Learning_1_1.started,Learning_1_1.stopped,learning_1_video_file1,trial_2_5_start,real_timestamp_trial_2_5_start,trial_2_5_end,real_timestamp_trial_2_5_end,trial_2_5_duration,Learning_2_5_instruction.started,Learning_2_5_instruction.stopped,Learning_2_5_3.started,Learning_2_5_3.stopped,Learning_2_5_2.started,Learning_2_5_2.stopped,Learning_2_5_1.started,Learning_2_5_1.stopped,learning_2_5_video_file,main_task_end,real_timestamp_main_task_end,main_task_duration,Done_text.started,Done_text.stopped,Done_resp.keys,Done_resp.rt,Done_resp.started,Done_resp.stopped,participant,group,# of reps,date,expName,psychopyVersion,frameRate,
,,,,13.455179199983831,None,return,1.394043700012844,13.455179199983831,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22052,alt,5,2023_Mar_27_1511,DSP_Behavioral_Only_Encoding,2021.1.3,60.06377572720754,
0,0,0,0,,,,,,,1679944283.9039164,2023-03-27-15:11:23.903916,1679944283.9039164,2023-03-27-15:11:23.903916,1679944349.902542,2023-03-27-15:12:29.902542,65.99862575531006,14.86702529998729,17.86728000000585,17.85058949998347,18.85059970000293,18.85059970000293,19.85060040000826,19.85060040000826,20.86462439998286,./DSP_Videos/Learning/Learning_Alternate.mp4,1679944349.902542,2023-03-27-15:12:29.902542,1679944415.9176354,2023-03-27-15:13:35.917635,66.0150933265686,80.96301750000566,83.96776779997163,83.9511120999814,84.95098979998147,84.95098979998147,85.95107409998309,85.95107409998309,86.95165890001226,./DSP_Videos/Learning/Learning_Alternate.mp4,,,,,,,,,,22052,alt,5,2023_Mar_27_1511,DSP_Behavioral_Only_Encoding,2021.1.3,60.06377572720754,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,1679944415.9186666,2023-03-27-15:13:35.918667,1679944481.9175696,2023-03-27-15:14:41.917570,65.99890303611755,146.99249889998464,150.00153080001473,149.98492070002249,150.98480819998076,150.98480819998076,151.98488330002874,151.98488330002874,152.98543569998583,./DSP_Videos/Learning/Learning_Alternate.mp4,,,,,,,,,,22052,alt,5,2023_Mar_27_1511,DSP_Behavioral_Only_Encoding,2021.1.3,60.06377572720754,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,1679944481.9185658,2023-03-27-15:14:41.918566,1679944547.9187284,2023-03-27-15:15:47.918728,66.00016260147095,212.98553010000614,215.98526290000882,215.9686961999978,216.9686998000252,216.9686998000252,217.96872220002115,217.96872220002115,218.96933280001394,./DSP_Videos/Learning/Learning_Alternate.mp4,,,,,,,,,,22052,alt,5,2023_Mar_27_1511,DSP_Behavioral_Only_Encoding,2021.1.3,60.06377572720754,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,1679944547.9187284,2023-03-27-15:15:47.918728,1679944613.919268,2023-03-27-15:16:53.919268,66.0005395412445,279.0041243999731,282.01916530000744,282.00256200000877,283.0025260000257,283.0025260000257,284.00253539998084,284.00253539998084,285.0031145000248,./DSP_Videos/Learning/Learning_Alternate.mp4,,,,,,,,,,22052,alt,5,2023_Mar_27_1511,DSP_Behavioral_Only_Encoding,2021.1.3,60.06377572720754,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1679944613.919268,2023-03-27-15:16:53.919268,330.01535153388977,344.8860116000287,None,return,10.06597920000786,344.8860116000287,None,22052,alt,5,2023_Mar_27_1511,DSP_Behavioral_Only_Encoding,2021.1.3,60.06377572720754,
