trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Ready_experimenter_text.started,Ready_experimenter_text.stopped,Ready_experimenter_resp.keys,Ready_experimenter_resp.rt,Ready_experimenter_resp.started,Ready_experimenter_resp.stopped,main_task_start,real_timestamp_main_task_start,trial_1_start,real_timestamp_trial_1_start,trial_1_end,real_timestamp_trial_1_end,trial_1_duration,Learning_1_instruction.started,Learning_1_instruction.stopped,Learning_1_3.started,Learning_1_3.stopped,Learning_1_2.started,Learning_1_2.stopped,Learning_1_1.started,Learning_1_1.stopped,learning_1_video_file1,trial_2_5_start,real_timestamp_trial_2_5_start,trial_2_5_end,real_timestamp_trial_2_5_end,trial_2_5_duration,Learning_2_5_instruction.started,Learning_2_5_instruction.stopped,Learning_2_5_3.started,Learning_2_5_3.stopped,Learning_2_5_2.started,Learning_2_5_2.stopped,Learning_2_5_1.started,Learning_2_5_1.stopped,learning_2_5_video_file,main_task_end,real_timestamp_main_task_end,main_task_duration,Done_text.started,Done_text.stopped,Done_resp.keys,Done_resp.rt,Done_resp.started,Done_resp.stopped,participant,group,# of reps,date,expName,psychopyVersion,frameRate,
,,,,14.846735099999933,None,return,34.19891930000085,14.846735099999933,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22009,alt,5,2022_Apr_26_1547,DSP_Behavioral_Only_Encoding,2021.1.3,60.01579615643319,
0,0,0,0,,,,,,,1651002476.6110427,2022-04-26-15:47:56.611043,1651002476.6110427,2022-04-26-15:47:56.611043,1651002542.6106062,2022-04-26-15:49:02.610606,65.99956345558167,49.06650230000014,52.06672089999847,52.05010069999844,53.05013109999709,53.05013109999709,54.0500420999997,54.0500420999997,55.06289829999878,./DSP_Videos/Learning/Learning_Alternate.mp4,1651002542.6106062,2022-04-26-15:49:02.610606,1651002608.6264105,2022-04-26-15:50:08.626410,66.01580429077148,115.15628959999958,118.16694339999958,118.15034279999963,119.15031829999862,119.15031829999862,120.15035869999701,120.15035869999701,121.1511651999972,./DSP_Videos/Learning/Learning_Alternate.mp4,,,,,,,,,,22009,alt,5,2022_Apr_26_1547,DSP_Behavioral_Only_Encoding,2021.1.3,60.01579615643319,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,1651002608.6274488,2022-04-26-15:50:08.627449,1651002674.6280372,2022-04-26-15:51:14.628037,66.00058841705322,181.20441239999855,184.21765629999936,184.20098049999797,185.20098229999712,185.20098229999712,186.20098209999924,186.20098209999924,187.20161179999923,./DSP_Videos/Learning/Learning_Alternate.mp4,,,,,,,,,,22009,alt,5,2022_Apr_26_1547,DSP_Behavioral_Only_Encoding,2021.1.3,60.01579615643319,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,1651002674.6280372,2022-04-26-15:51:14.628037,1651002740.6292179,2022-04-26-15:52:20.629218,66.00118064880371,247.20088419999956,250.2014683999987,250.18484039999748,251.18477689999781,251.18477689999781,252.18484700000045,252.18484700000045,253.1854026999972,./DSP_Videos/Learning/Learning_Alternate.mp4,,,,,,,,,,22009,alt,5,2022_Apr_26_1547,DSP_Behavioral_Only_Encoding,2021.1.3,60.01579615643319,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,1651002740.6292179,2022-04-26-15:52:20.629218,1651002806.6303873,2022-04-26-15:53:26.630387,66.0011694431305,313.18971389999933,316.2019161999997,316.18530610000016,317.18521899999905,317.18521899999905,318.18510740000056,318.18510740000056,319.18586479999794,./DSP_Videos/Learning/Learning_Alternate.mp4,,,,,,,,,,22009,alt,5,2022_Apr_26_1547,DSP_Behavioral_Only_Encoding,2021.1.3,60.01579615643319,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1651002806.6303873,2022-04-26-15:53:26.630387,330.01934456825256,379.08551799999987,None,return,4.613295099999959,379.08551799999987,None,22009,alt,5,2022_Apr_26_1547,DSP_Behavioral_Only_Encoding,2021.1.3,60.01579615643319,
