Button.thisRepN,Button.thisTrialN,Button.thisN,Button.thisIndex,Ready_experimenter_text.started,Ready_experimenter_text.stopped,Ready_experimenter_resp.keys,Ready_experimenter_resp.rt,Ready_experimenter_resp.started,Ready_experimenter_resp.stopped,Alignment_background.started,Alignment_background.stopped,Alignment_image.started,Alignment_image.stopped,Alignment_resp.keys,Alignment_resp.started,Alignment_resp.stopped,Button_text.started,Button_text.stopped,Index_text.started,Index_text.stopped,Index_resp.keys,Index_resp.rt,Index_resp.started,Index_resp.stopped,Middle_text.started,Middle_text.stopped,Middle_resp.keys,Middle_resp.rt,Middle_resp.started,Middle_resp.stopped,Repeat_text.started,Repeat_text.stopped,Repeat_resp.keys,Repeat_resp.corr,Repeat_resp.rt,Repeat_resp.started,Repeat_resp.stopped,main_task_start,real_timestamp_main_task_start,Ready_scanner_text.started,Ready_scanner_text.stopped,Ready_scanner_resp.keys,Ready_scanner_resp.rt,Ready_scanner_resp.started,Ready_scanner_resp.stopped,Learning_1_start,real_timestamp_learning_1_start,learning_1_end,real_timestamp_learning_1_end,learning_1_duration,Learning_1_instruction.started,Learning_1_instruction.stopped,Learning_1_3.started,Learning_1_3.stopped,Learning_1_2.started,Learning_1_2.stopped,Learning_1_1.started,Learning_1_1.stopped,Learning_1_fixation_horz.started,Learning_1_fixation_horz.stopped,Learning_1_fixation_vert.started,Learning_1_fixation_vert.stopped,learning_video_file_1,control_1_start,real_timestamp_control_1_start,control_1_end,real_timestamp_control_1_end,control_1_duration,Control_1_instruction.started,Control_1_instruction.stopped,Control_1_3.started,Control_1_3.stopped,Control_1_2.started,Control_1_2.stopped,Control_1_1.started,Control_1_1.stopped,Control_1_resp.keys,Control_1_resp.rt,Control_1_resp.started,Control_1_resp.stopped,Control_1_same_different_text.started,Control_1_same_different_text.stopped,Control_1_resp_recorded_text.started,Control_1_resp_recorded_text.stopped,Control_1_fixation_horz.started,Control_1_fixation_horz.stopped,Control_1_fixation_vert.started,Control_1_fixation_vert.stopped,control_video_file_1,Learning_2_start,real_timestamp_learning_2_start,learning_2_end,real_timestamp_learning_2_end,learning_2_duration,Learning_2_instruction.started,Learning_2_instruction.stopped,Learning_2_3.started,Learning_2_3.stopped,Learning_2_2.started,Learning_2_2.stopped,Learning_2_1.started,Learning_2_1.stopped,Learning_2_fixation_horz.started,Learning_2_fixation_horz.stopped,Learning_2_fixation_vert.started,Learning_2_fixation_vert.stopped,learning_video_file_2,control_2_start,real_timestamp_control_2_start,control_2_end,real_timestamp_control_2_end,control_2_duration,Control_2_instruction.started,Control_2_instruction.stopped,Control_2_3.started,Control_2_3.stopped,Control_2_2.started,Control_2_2.stopped,Control_2_1.started,Control_2_1.stopped,Control_2_resp.keys,Control_2_resp.rt,Control_2_resp.started,Control_2_resp.stopped,Control_2_same_different_text.started,Control_2_same_different_text.stopped,Control_2_resp_recorded_text.started,Control_2_resp_recorded_text.stopped,Control_2_fixation_horz.started,Control_2_fixation_horz.stopped,Control_2_fixation_vert.started,Control_2_fixation_vert.stopped,control_video_file_2,Learning_3_start,real_timestamp_learning_3_start,learning_3_end,real_timestamp_learning_3_end,learning_3_duration,Learning_3_instruction.started,Learning_3_instruction.stopped,Learning_3_3.started,Learning_3_3.stopped,Learning_3_2.started,Learning_3_2.stopped,Learning_3_1.started,Learning_3_1.stopped,Learning_3_fixation_horz.started,Learning_3_fixation_horz.stopped,Learning_3_fixation_vert.started,Learning_3_fixation_vert.stopped,learning_video_file_3,main_task_end,real_timestamp_main_task_end,main_task_duration,Done_text.started,Done_text.stopped,Done_resp.keys,Done_resp.rt,Done_resp.started,Done_resp.stopped,participant,run,group,version,date,expName,psychopyVersion,frameRate,
,,,,19.602398399962112,None,return,62.461933200014755,19.602398399962112,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22008,3,alt,D,2022_Apr_21_1257,DSP_Bold,2020.2.10,59.9633624276899,
,,,,,,,,,,82.08594239989762,None,82.08594239989762,None,None,82.08594239989762,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22008,3,alt,D,2022_Apr_21_1257,DSP_Bold,2020.2.10,59.9633624276899,
0,0,0,0,,,,,,,,,,,,,,82.08756879996508,None,83.08977709989995,None,y,2.587524800095707,83.08977709989995,None,85.70366789982654,None,b,1.192118200007826,85.70366789982654,None,86.92675769980997,None,n,0,30.728127399925143,86.92675769980997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22008,3,alt,D,2022_Apr_21_1257,DSP_Bold,2020.2.10,59.9633624276899,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650560349.4941268,2022-04-21-12:59:09.494127,117.68803799990565,None,t,16.980408400064334,117.68803799990565,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22008,3,alt,D,2022_Apr_21_1257,DSP_Bold,2020.2.10,59.9633624276899,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650560349.4941268,2022-04-21-12:59:09.494127,1650560430.4765882,2022-04-21-13:00:30.476588,80.98246145248413,134.68858539988287,137.70376679999754,137.6707859998569,138.68503579986282,138.6682023999747,139.67458649980836,139.67458649980836,140.68670540000312,200.67080949991941,None,200.67080949991941,None,./DSP_Videos/Learning/Learning_Alternate.mp4,1650560430.4765882,2022-04-21-13:00:30.476588,1650560521.4603345,2022-04-21-13:02:01.460335,90.98374629020691,215.67102989996783,218.6859322998207,218.65247169998474,219.65233199996874,219.65233199996874,220.65308179985732,220.65308179985732,221.65273580001667,y,0.9859182999935001,281.6414869998116,291.65292339981534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22008,3,alt,D,2022_Apr_21_1257,DSP_Bold,2020.2.10,59.9633624276899,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.6414869998116,282.6695973998867,282.6695973998867,291.65292339981534,291.65292339981534,None,291.65292339981534,None,./DSP_Videos/Control/Alternate/Videos/Control_Route_3_Alternate_A_000_same.mp4,1650560521.4603345,2022-04-21-13:02:01.460335,1650560602.444114,2022-04-21-13:03:22.444114,80.9837794303894,306.65406209998764,309.6533531998284,309.63674629991874,310.63624199992046,310.63624199992046,311.636725399876,311.636725399876,312.63585099997,372.62495610001497,None,372.62495610001497,None,./DSP_Videos/Learning/Learning_Alternate.mp4,1650560602.444114,2022-04-21-13:03:22.444114,1650560693.4297051,2022-04-21-13:04:53.429705,90.985591173172,387.63813879992813,390.63854580000043,390.61047049984336,391.6208522999659,391.6208522999659,392.62077039992437,392.62077039992437,393.6209263999481,y,0.8380835000425577,453.60919519979507,463.6206437998917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22008,3,alt,D,2022_Apr_21_1257,DSP_Bold,2020.2.10,59.9633624276899,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453.60919519979507,454.48786169989035,454.48786169989035,463.6206437998917,463.6206437998917,None,463.6206437998917,None,./DSP_Videos/Control/Alternate/Videos/Control_Route_2_Alternate_B_000_same.mp4,1650560693.4297051,2022-04-21-13:04:53.429705,1650560774.414058,2022-04-21-13:06:14.414058,80.98435282707214,478.6240971998777,481.6372810998,481.60485719982535,482.6050298998598,482.6050298998598,483.6047564998735,483.6047564998735,484.60474679991603,544.6057865999173,None,544.6057865999173,None,./DSP_Videos/Learning/Learning_Alternate.mp4,1650560774.414058,2022-04-21-13:06:14.414058,424.9199311733246,559.6076024000067,None,return,71.8153544999659,559.6076024000067,None,22008,3,alt,D,2022_Apr_21_1257,DSP_Bold,2020.2.10,59.9633624276899,
