Button.thisRepN,Button.thisTrialN,Button.thisN,Button.thisIndex,Ready_experimenter_text.started,Ready_experimenter_text.stopped,Ready_experimenter_resp.keys,Ready_experimenter_resp.rt,Ready_experimenter_resp.started,Ready_experimenter_resp.stopped,Alignment_background.started,Alignment_background.stopped,Alignment_image.started,Alignment_image.stopped,Alignment_resp.keys,Alignment_resp.started,Alignment_resp.stopped,Button_text.started,Button_text.stopped,Index_text.started,Index_text.stopped,Index_resp.keys,Index_resp.rt,Index_resp.started,Index_resp.stopped,Middle_text.started,Middle_text.stopped,Middle_resp.keys,Middle_resp.rt,Middle_resp.started,Middle_resp.stopped,Repeat_text.started,Repeat_text.stopped,Repeat_resp.keys,Repeat_resp.corr,Repeat_resp.rt,Repeat_resp.started,Repeat_resp.stopped,main_task_start,real_timestamp_main_task_start,Ready_scanner_text.started,Ready_scanner_text.stopped,Ready_scanner_resp.keys,Ready_scanner_resp.rt,Ready_scanner_resp.started,Ready_scanner_resp.stopped,Learning_1_start,real_timestamp_learning_1_start,learning_1_end,real_timestamp_learning_1_end,learning_1_duration,Learning_1_instruction.started,Learning_1_instruction.stopped,Learning_1_3.started,Learning_1_3.stopped,Learning_1_2.started,Learning_1_2.stopped,Learning_1_1.started,Learning_1_1.stopped,Learning_1_fixation_horz.started,Learning_1_fixation_horz.stopped,Learning_1_fixation_vert.started,Learning_1_fixation_vert.stopped,learning_video_file_1,control_1_start,real_timestamp_control_1_start,control_1_end,real_timestamp_control_1_end,control_1_duration,Control_1_instruction.started,Control_1_instruction.stopped,Control_1_3.started,Control_1_3.stopped,Control_1_2.started,Control_1_2.stopped,Control_1_1.started,Control_1_1.stopped,Control_1_resp.keys,Control_1_resp.rt,Control_1_resp.started,Control_1_resp.stopped,Control_1_same_different_text.started,Control_1_same_different_text.stopped,Control_1_resp_recorded_text.started,Control_1_resp_recorded_text.stopped,Control_1_fixation_horz.started,Control_1_fixation_horz.stopped,Control_1_fixation_vert.started,Control_1_fixation_vert.stopped,control_video_file_1,Learning_2_start,real_timestamp_learning_2_start,learning_2_end,real_timestamp_learning_2_end,learning_2_duration,Learning_2_instruction.started,Learning_2_instruction.stopped,Learning_2_3.started,Learning_2_3.stopped,Learning_2_2.started,Learning_2_2.stopped,Learning_2_1.started,Learning_2_1.stopped,Learning_2_fixation_horz.started,Learning_2_fixation_horz.stopped,Learning_2_fixation_vert.started,Learning_2_fixation_vert.stopped,learning_video_file_2,control_2_start,real_timestamp_control_2_start,control_2_end,real_timestamp_control_2_end,control_2_duration,Control_2_instruction.started,Control_2_instruction.stopped,Control_2_3.started,Control_2_3.stopped,Control_2_2.started,Control_2_2.stopped,Control_2_1.started,Control_2_1.stopped,Control_2_resp.keys,Control_2_resp.rt,Control_2_resp.started,Control_2_resp.stopped,Control_2_same_different_text.started,Control_2_same_different_text.stopped,Control_2_resp_recorded_text.started,Control_2_resp_recorded_text.stopped,Control_2_fixation_horz.started,Control_2_fixation_horz.stopped,Control_2_fixation_vert.started,Control_2_fixation_vert.stopped,control_video_file_2,Learning_3_start,real_timestamp_learning_3_start,learning_3_end,real_timestamp_learning_3_end,learning_3_duration,Learning_3_instruction.started,Learning_3_instruction.stopped,Learning_3_3.started,Learning_3_3.stopped,Learning_3_2.started,Learning_3_2.stopped,Learning_3_1.started,Learning_3_1.stopped,Learning_3_fixation_horz.started,Learning_3_fixation_horz.stopped,Learning_3_fixation_vert.started,Learning_3_fixation_vert.stopped,learning_video_file_3,main_task_end,real_timestamp_main_task_end,main_task_duration,Done_text.started,Done_text.stopped,Done_resp.keys,Done_resp.rt,Done_resp.started,Done_resp.stopped,participant,run,group,version,date,expName,psychopyVersion,frameRate,
,,,,18.093357699981425,None,return,0.5502051999792457,18.093357699981425,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22052,3,nor,D,2023_Mar_27_1400,DSP_Bold,2020.2.10,59.96605921034085,
,,,,,,,,,,18.673506230016937,None,18.673506230016937,None,None,18.673506230016937,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22052,3,nor,D,2023_Mar_27_1400,DSP_Bold,2020.2.10,59.96605921034085,
0,0,0,0,,,,,,,,,,,,,,18.675639700028114,None,19.676504999981262,None,y,1.3597799999988638,19.676504999981262,None,21.059057000034954,None,b,1.0172265999717638,21.059057000034954,None,22.10852840001462,None,n,0,0.47901359997922555,22.10852840001462,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22052,3,nor,D,2023_Mar_27_1400,DSP_Bold,2020.2.10,59.96605921034085,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1679940156.0158656,2023-03-27-14:02:36.015866,22.609244999999646,None,t,123.73110820003785,22.609244999999646,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22052,3,nor,D,2023_Mar_27_1400,DSP_Bold,2020.2.10,59.96605921034085,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1679940156.0158656,2023-03-27-14:02:36.015866,1679940236.9986658,2023-03-27-14:03:56.998666,80.98280024528503,146.3595450000139,149.37393579998752,149.34061180002755,150.34062420000555,150.34062420000555,151.34676099999342,151.34676099999342,152.3585705999867,212.34241360001033,None,212.34241360001033,None,./DSP_Videos/Learning/Learning_Normal.mp4,1679940236.9986658,2023-03-27-14:03:56.998666,1679940327.9818728,2023-03-27-14:05:27.981873,90.98320698738098,227.34283879998839,230.34445289999712,230.31397120002657,231.32458349998342,231.32458349998342,232.32439020002494,232.32439020002494,233.3242950999993,y,0.9964848999516107,293.3140143000055,303.32504189998144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22052,3,nor,D,2023_Mar_27_1400,DSP_Bold,2020.2.10,59.96605921034085,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.3140143000055,294.3604889999842,294.3604889999842,303.32504189998144,303.32504189998144,None,303.32504189998144,None,./DSP_Videos/Control/Normal/Videos/Control_Route_1_Normal_B_001_different.mp4,1679940327.9818728,2023-03-27-14:05:27.981873,1679940408.9674335,2023-03-27-14:06:48.967433,80.98556065559387,318.33034500002395,321.3420918000047,321.30874340003356,322.3091919000144,322.3091919000144,323.3091259000357,323.3091259000357,324.310504699999,384.2971483999863,None,384.2971483999863,None,./DSP_Videos/Learning/Learning_Normal.mp4,1679940408.9674335,2023-03-27-14:06:48.967433,1679940499.9503162,2023-03-27-14:08:19.950316,90.9828827381134,399.31196399999317,402.3177022000309,402.298778700002,403.3093020999804,403.29270960000576,404.292374200013,404.292374200013,405.2927558000083,b,1.0651796000311151,465.28127390000736,475.29301750002196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22052,3,nor,D,2023_Mar_27_1400,DSP_Bold,2020.2.10,59.96605921034085,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.28127390000736,466.37925410002936,466.37925410002936,475.29301750002196,475.29301750002196,None,475.29301750002196,None,./DSP_Videos/Control/Normal/Videos/Control_Route_2_Normal_A_000_different.mp4,1679940499.9503162,2023-03-27-14:08:19.950316,1679940580.9347963,2023-03-27-14:09:40.934796,80.98448014259338,490.29429230000824,493.3095638999948,493.2761630000314,494.27618380001513,494.27618380001513,495.2828626999981,495.2828626999981,496.2794107000227,556.2647522999905,None,556.2647522999905,None,./DSP_Videos/Learning/Learning_Normal.mp4,1679940580.9347963,2023-03-27-14:09:40.934796,424.9189307689667,571.278669500025,None,return,39.79841559997294,571.278669500025,None,22052,3,nor,D,2023_Mar_27_1400,DSP_Bold,2020.2.10,59.96605921034085,
