Button.thisRepN,Button.thisTrialN,Button.thisN,Button.thisIndex,Ready_experimenter_text.started,Ready_experimenter_text.stopped,Ready_experimenter_resp.keys,Ready_experimenter_resp.rt,Ready_experimenter_resp.started,Ready_experimenter_resp.stopped,Alignment_background.started,Alignment_background.stopped,Alignment_image.started,Alignment_image.stopped,Alignment_resp.keys,Alignment_resp.started,Alignment_resp.stopped,Button_text.started,Button_text.stopped,Index_text.started,Index_text.stopped,Index_resp.keys,Index_resp.rt,Index_resp.started,Index_resp.stopped,Middle_text.started,Middle_text.stopped,Middle_resp.keys,Middle_resp.rt,Middle_resp.started,Middle_resp.stopped,Repeat_text.started,Repeat_text.stopped,Repeat_resp.keys,Repeat_resp.corr,Repeat_resp.rt,Repeat_resp.started,Repeat_resp.stopped,main_task_start,real_timestamp_main_task_start,Ready_scanner_text.started,Ready_scanner_text.stopped,Ready_scanner_resp.keys,Ready_scanner_resp.rt,Ready_scanner_resp.started,Ready_scanner_resp.stopped,Learning_1_start,real_timestamp_learning_1_start,learning_1_end,real_timestamp_learning_1_end,learning_1_duration,Learning_1_instruction.started,Learning_1_instruction.stopped,Learning_1_3.started,Learning_1_3.stopped,Learning_1_2.started,Learning_1_2.stopped,Learning_1_1.started,Learning_1_1.stopped,Learning_1_fixation_horz.started,Learning_1_fixation_horz.stopped,Learning_1_fixation_vert.started,Learning_1_fixation_vert.stopped,learning_video_file_1,control_1_start,real_timestamp_control_1_start,control_1_end,real_timestamp_control_1_end,control_1_duration,Control_1_instruction.started,Control_1_instruction.stopped,Control_1_3.started,Control_1_3.stopped,Control_1_2.started,Control_1_2.stopped,Control_1_1.started,Control_1_1.stopped,Control_1_resp.keys,Control_1_resp.rt,Control_1_resp.started,Control_1_resp.stopped,Control_1_same_different_text.started,Control_1_same_different_text.stopped,Control_1_resp_recorded_text.started,Control_1_resp_recorded_text.stopped,Control_1_fixation_horz.started,Control_1_fixation_horz.stopped,Control_1_fixation_vert.started,Control_1_fixation_vert.stopped,control_video_file_1,Learning_2_start,real_timestamp_learning_2_start,learning_2_end,real_timestamp_learning_2_end,learning_2_duration,Learning_2_instruction.started,Learning_2_instruction.stopped,Learning_2_3.started,Learning_2_3.stopped,Learning_2_2.started,Learning_2_2.stopped,Learning_2_1.started,Learning_2_1.stopped,Learning_2_fixation_horz.started,Learning_2_fixation_horz.stopped,Learning_2_fixation_vert.started,Learning_2_fixation_vert.stopped,learning_video_file_2,control_2_start,real_timestamp_control_2_start,control_2_end,real_timestamp_control_2_end,control_2_duration,Control_2_instruction.started,Control_2_instruction.stopped,Control_2_3.started,Control_2_3.stopped,Control_2_2.started,Control_2_2.stopped,Control_2_1.started,Control_2_1.stopped,Control_2_resp.keys,Control_2_resp.rt,Control_2_resp.started,Control_2_resp.stopped,Control_2_same_different_text.started,Control_2_same_different_text.stopped,Control_2_resp_recorded_text.started,Control_2_resp_recorded_text.stopped,Control_2_fixation_horz.started,Control_2_fixation_horz.stopped,Control_2_fixation_vert.started,Control_2_fixation_vert.stopped,control_video_file_2,Learning_3_start,real_timestamp_learning_3_start,learning_3_end,real_timestamp_learning_3_end,learning_3_duration,Learning_3_instruction.started,Learning_3_instruction.stopped,Learning_3_3.started,Learning_3_3.stopped,Learning_3_2.started,Learning_3_2.stopped,Learning_3_1.started,Learning_3_1.stopped,Learning_3_fixation_horz.started,Learning_3_fixation_horz.stopped,Learning_3_fixation_vert.started,Learning_3_fixation_vert.stopped,learning_video_file_3,main_task_end,real_timestamp_main_task_end,main_task_duration,Done_text.started,Done_text.stopped,Done_resp.keys,Done_resp.rt,Done_resp.started,Done_resp.stopped,participant,run,group,version,date,expName,psychopyVersion,frameRate,
,,,,64.7098082001321,None,return,10.107277400093153,64.7098082001321,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12005,4,alt,C,2021_Oct_15_1323,DSP_Bold,2020.2.10,60.73286342962197,
,,,,,,,,,,74.83585671021137,None,74.83585671021137,None,None,74.83585671021137,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12005,4,alt,C,2021_Oct_15_1323,DSP_Bold,2020.2.10,60.73286342962197,
0,0,0,0,,,,,,,,,,,,,,74.83784540020861,None,75.85227180016227,None,y,0.41831209999509156,75.85227180016227,None,76.2883055000566,None,b,0.3483045999892056,76.2883055000566,None,76.65460710017942,None,n,0,1.9562532999552786,76.65460710017942,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12005,4,alt,C,2021_Oct_15_1323,DSP_Bold,2020.2.10,60.73286342962197,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1634318700.5228431,2021-10-15-13:25:00.522843,78.64266880019568,None,t,56.951708500040695,78.64266880019568,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12005,4,alt,C,2021_Oct_15_1323,DSP_Bold,2020.2.10,60.73286342962197,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1634318700.5228431,2021-10-15-13:25:00.522843,1634318781.5201821,2021-10-15-13:26:21.520182,80.99733901023865,135.6214314000681,138.6265718000941,138.60746240010485,139.62620230019093,139.60582699999213,140.61829120013863,140.60267619998194,141.60962330014445,201.60713690007105,None,201.60713690007105,None,./DSP_Videos/Learning/Learning_Alternate.mp4,1634318781.5201821,2021-10-15-13:26:21.520182,1634318872.5023575,2021-10-15-13:27:52.502357,90.98217535018921,216.62165430001915,219.63562900014222,219.60236880020238,220.6021575999912,220.6021575999912,221.60224080015905,221.60224080015905,222.6093494000379,b,1.0069593999069184,282.60744920000434,292.62011880008504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12005,4,alt,C,2021_Oct_15_1323,DSP_Bold,2020.2.10,60.73286342962197,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.60744920000434,283.6578540999908,283.6578540999908,292.60473020002246,292.60473020002246,None,292.60473020002246,None,./DSP_Videos/Control/Alternate/Videos/Control_Route_1_Alternate_B_000_different.mp4,1634318872.5023575,2021-10-15-13:27:52.502357,1634318953.4863627,2021-10-15-13:29:13.486363,80.98400521278381,307.60224420018494,310.60435700020753,310.5878446002025,311.5887325000949,311.5887325000949,312.602660600096,312.58599310019054,313.5872541000135,373.5743099001702,None,373.5743099001702,None,./DSP_Videos/Learning/Learning_Alternate.mp4,1634318953.4863627,2021-10-15-13:29:13.486363,1634319044.4749758,2021-10-15-13:30:44.474976,90.98861312866211,388.58742660004646,391.58730580005795,391.5707043001894,392.59213340003043,392.57422310020775,393.5868410000112,393.5703025001567,394.57659220020287,b,0.9052646001800895,454.55782440002076,464.554767700145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12005,4,alt,C,2021_Oct_15_1323,DSP_Bold,2020.2.10,60.73286342962197,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.55782440002076,455.5063228001818,455.5063228001818,464.554767700145,464.554767700145,None,464.554767700145,None,./DSP_Videos/Control/Alternate/Videos/Control_Route_2_Alternate_B_001_different.mp4,1634319044.4749758,2021-10-15-13:30:44.474976,1634319125.4591558,2021-10-15-13:32:05.459156,80.9841799736023,479.5748082001228,482.58702150010504,482.55354120000266,483.5604895001743,483.5604895001743,484.55672850017436,484.55672850017436,485.57100080000237,545.5556241001468,None,545.5556241001468,None,./DSP_Videos/Learning/Learning_Alternate.mp4,1634319125.4591558,2021-10-15-13:32:05.459156,424.9363126754761,560.558953900123,None,return,9.009320400189608,560.558953900123,None,12005,4,alt,C,2021_Oct_15_1323,DSP_Bold,2020.2.10,60.73286342962197,
