onset	duration	trial_type
0.0	11.596695899992483	scrambled
13.980810299981357	25.53632449998986	objects
41.99019839998803	53.56306429998949	scenes
55.981818100000964	67.61421040000278	faces
83.98087729999676	95.61339610000141	scenes
97.98230609999155	109.68052449999959	scrambled
111.98428889998465	123.6973178999906	faces
125.98420589999296	137.6813159000012	objects
139.99395750000258	151.6811585999967	scrambled
153.98388009998598	165.69731829999364	scenes
181.9888721999887	193.66518029998406	faces
195.98951240000315	207.68152009998448	objects
209.9821295999863	221.64836500000092	scrambled
223.99035320000257	235.6212000999949	objects
237.9823196000071	249.64827919998788	scenes
251.988316700008	263.6490191000048	faces
